Date and Time:                Wed Mar 19 11:20:34.487 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	57
285,25876	-64
285,76248	-149
286,26624	71
286,77002	11
287,2738	33
287,77762	-46
288,28146	-64
288,78531	0
289,28922	-359
289,79312	161
290,29706	29
290,80103	29
291,30502	84
291,80902	121
292,31308	5
292,81714	-17
293,32123	-196
293,82532	-30
294,32947	-176
294,83362	-102
295,3378	17
295,84201	57
296,34625	52
296,85049	26
297,35477	-108
297,85907	48
298,3634	-70
298,86777	-87
299,37213	40
299,87656	33
300,38098	-1
300,88541	92
301,38989	86
301,89441	110
302,39893	-48
302,90347	-55
303,40805	-14
303,91263	-38
304,41727	-59
304,92191	-65
305,42657	-75
305,93127	28
306,43597	-64
306,94073	-81
307,4455	21
307,95029	25
308,45511	-57
308,95993	-47
309,46481	55
309,9697	22
310,47461	-129
310,97955	-110
311,4845	-23
311,9895	-11
312,49451	-24
312,99954	-14
313,50461	-78
314,00967	-74
314,5148	38
315,01993	-140
315,52509	-47
316,03027	-29
316,53546	-103
317,04071	-26
317,54596	37
318,05124	55
318,55655	-96
319,06186	32
319,56723	172
320,0726	-144
320,578	169
321,08344	10
321,58887	-2
322,09433	21
322,59985	48
323,10538	10
323,6109	-77
324,11649	-106
324,62207	55
325,12769	-102
325,63333	-108
326,13901	-13
326,64471	28
327,15042	-18
327,65616	-52
328,16193	-55
328,66772	3
329,17352	-12
329,67938	-47
330,18524	195
330,69113	-62
331,19702	-121
331,70297	-89
332,20892	-15
332,7149	-140
333,22092	72
333,72696	-182
334,233	-57
334,73911	33
335,24521	-9
335,75134	88
336,25748	-13
336,76367	-22
337,26987	12
337,77609	16
338,28235	-15
338,78864	-12
339,29492	-59
339,80127	-15
340,30762	67
340,814	-48
341,32037	-64
341,82681	98
342,33325	-86
342,83972	-97
343,34622	101
343,85275	-30
344,35928	48
344,86584	120
345,37247	-79
345,87906	-93
346,38571	-90
346,89236	-160
347,39908	-101
347,90579	-126
348,41254	-9
348,91928	-123
349,42609	-126
349,93289	-147
350,43973	-83
350,94659	59
351,45349	-2
351,96039	53
352,46732	-22
352,97427	66
353,48126	-133
353,98828	-26
354,4953	-148
355,00235	-28
355,50943	36
