Date and Time:                Wed Mar 19 12:24:18.864 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-65
285,25876	-121
285,76248	-110
286,26624	-107
286,77002	89
287,2738	-73
287,77762	-16
288,28146	-136
288,78531	-45
289,28922	-99
289,79312	-146
290,29706	-59
290,80103	-206
291,30502	-91
291,80902	-41
292,31308	81
292,81714	-69
293,32123	-60
293,82532	64
294,32947	-110
294,83362	-75
295,3378	-34
295,84201	-178
296,34625	-70
296,85049	-31
297,35477	-13
297,85907	-91
298,3634	-93
298,86777	-34
299,37213	45
299,87656	-138
300,38098	-159
300,88541	-115
301,38989	-37
301,89441	-20
302,39893	-225
302,90347	148
303,40805	-307
303,91263	-70
304,41727	-4
304,92191	-8
305,42657	-31
305,93127	-127
306,43597	-15
306,94073	-159
307,4455	-68
307,95029	33
308,45511	-23
308,95993	-132
309,46481	-25
309,9697	-113
310,47461	-9
310,97955	-18
311,4845	-60
311,9895	-69
312,49451	-180
312,99954	93
313,50461	-85
314,00967	10
314,5148	-90
315,01993	-100
315,52509	-9
316,03027	-208
316,53546	-100
317,04071	-66
317,54596	6
318,05124	-146
318,55655	-10
319,06186	-61
319,56723	-48
320,0726	-30
320,578	-91
321,08344	-132
321,58887	-67
322,09433	-44
322,59985	42
323,10538	-82
323,6109	-74
324,11649	-13
324,62207	-152
325,12769	1
325,63333	-24
326,13901	-47
326,64471	74
327,15042	-86
327,65616	13
328,16193	-130
328,66772	-92
329,17352	14
329,67938	-160
330,18524	-28
330,69113	-83
331,19702	28
331,70297	-36
332,20892	-86
332,7149	-72
333,22092	-106
333,72696	-53
334,233	-135
334,73911	-106
335,24521	-51
335,75134	-50
336,25748	-123
336,76367	-48
337,26987	-20
337,77609	-18
338,28235	-53
338,78864	-30
339,29492	85
339,80127	-111
340,30762	-92
340,814	-62
341,32037	-118
341,82681	-15
342,33325	-31
342,83972	-111
343,34622	5
343,85275	-185
344,35928	-216
344,86584	-131
345,37247	-115
345,87906	-61
346,38571	-58
346,89236	-120
347,39908	-83
347,90579	23
348,41254	-58
348,91928	28
349,42609	49
349,93289	46
350,43973	-157
350,94659	13
351,45349	-232
351,96039	15
352,46732	4
352,97427	-100
353,48126	-68
