Date and Time:                Wed Mar 19 14:04:50.902 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-73
285,25876	-179
285,76248	-58
286,26624	-115
286,77002	79
287,2738	-86
287,77762	-63
288,28146	-101
288,78531	-84
289,28922	-70
289,79312	-100
290,29706	-23
290,80103	-78
291,30502	-13
291,80902	-41
292,31308	20
292,81714	2
293,32123	-115
293,82532	-201
294,32947	-25
294,83362	-44
295,3378	-26
295,84201	31
296,34625	-49
296,85049	-13
297,35477	25
297,85907	-42
298,3634	31
298,86777	-100
299,37213	7
299,87656	-41
300,38098	-154
300,88541	-137
301,38989	28
301,89441	-47
302,39893	-104
302,90347	-33
303,40805	36
303,91263	-90
304,41727	-114
304,92191	52
305,42657	50
305,93127	-164
306,43597	-17
306,94073	-88
307,4455	22
307,95029	-15
308,45511	18
308,95993	-52
309,46481	-28
309,9697	-34
310,47461	-28
310,97955	6
311,4845	-37
311,9895	-75
312,49451	-128
312,99954	-115
313,50461	10
314,00967	-55
314,5148	-77
315,01993	-154
315,52509	-59
316,03027	106
316,53546	-151
317,04071	6
317,54596	-81
318,05124	-52
318,55655	-6
319,06186	3
319,56723	-75
320,0726	-206
320,578	-116
321,08344	3
321,58887	-68
322,09433	-25
322,59985	-43
323,10538	20
323,6109	-92
324,11649	-122
324,62207	52
325,12769	69
325,63333	-160
326,13901	-64
326,64471	-2
327,15042	-215
327,65616	-65
328,16193	-105
328,66772	-112
329,17352	-111
329,67938	-181
330,18524	-22
330,69113	-63
331,19702	-37
331,70297	-17
332,20892	-28
332,7149	-103
333,22092	-123
333,72696	-125
334,233	-178
334,73911	-33
335,24521	-43
335,75134	15
336,25748	-10
336,76367	28
337,26987	-75
337,77609	-40
338,28235	63
338,78864	6
339,29492	-33
339,80127	74
340,30762	-97
340,814	3
341,32037	-162
341,82681	-24
342,33325	-2
342,83972	46
343,34622	-49
343,85275	34
344,35928	-116
344,86584	2
345,37247	58
345,87906	-18
346,38571	-99
346,89236	90
347,39908	101
347,90579	-80
348,41254	15
348,91928	-42
349,42609	-35
349,93289	2
350,43973	-32
350,94659	-103
351,45349	53
351,96039	77
352,46732	-22
352,97427	59
353,48126	-111
353,98828	-88
354,4953	-22
