Date and Time:                Wed Mar 12 13:44:36.144 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              710,907
Grating Groove Density (l/mm):600
Grating Blaze:                500nm
Output Flipper Port:          Direct



606,61517	248
606,73901	79
606,86285	87
606,98669	124
607,11053	65
607,23431	187
607,35815	88
607,48199	134
607,60577	64
607,72961	21
607,85345	212
607,97723	167
608,10107	151
608,22485	135
608,34869	-57
608,47247	130
608,59631	56
608,72009	275
608,84393	293
608,96771	127
609,09149	337
609,21533	115
609,33911	189
609,46289	271
609,58667	77
609,71051	-2
609,83429	26
609,95807	183
610,08185	321
610,20563	176
610,32941	187
610,45319	157
610,57697	101
610,70074	125
610,82452	143
610,9483	-49
611,07208	-39
611,19586	163
611,31964	347
611,44342	264
611,5672	110
611,69092	260
611,8147	73
611,93848	95
612,06226	13
612,18597	150
612,30975	221
612,43353	134
612,55725	-25
612,68103	45
612,80475	87
612,92853	248
613,05225	172
613,17603	193
613,29974	131
613,42346	94
613,54724	81
613,67096	156
613,79468	-8
613,91846	393
614,04218	142
614,16589	202
614,28961	34
614,41339	159
614,53711	103
614,66083	231
614,78455	311
614,90826	42
615,03198	263
615,1557	129
615,27942	64
615,40314	102
615,52686	140
615,65057	164
615,77423	180
615,89795	114
616,02167	265
616,14539	128
616,26904	169
616,39276	136
616,51648	64
616,6402	26
616,76385	290
616,88757	203
617,01123	79
617,13495	317
617,25861	126
617,38232	115
617,50598	142
617,6297	72
617,75336	58
617,87701	323
618,00073	289
618,12439	168
618,24805	160
618,3717	260
618,49542	142
618,61908	167
618,74274	124
618,86639	233
618,99005	248
619,11371	173
619,23737	-15
619,36102	148
619,48468	-17
619,60834	50
619,73199	175
619,85565	268
619,97931	30
620,10291	288
620,22656	55
620,35022	120
620,47388	17
620,59747	136
620,72113	78
620,84473	118
620,96838	158
621,09204	238
621,21564	26
621,33929	238
621,46289	252
621,58655	200
621,71014	179
621,83374	243
621,9574	360
622,08099	280
622,20459	117
622,32819	269
622,45184	85
622,57544	208
622,69904	190
622,82263	416
622,94623	215
623,06982	86
623,19342	105
623,31702	176
623,44061	275
623,56421	56
623,68781	57
623,8114	208
623,935	184
624,05859	81
624,18213	101
624,30573	69
624,42932	135
624,55286	221
624,67645	207
624,80005	209
624,92358	55
625,04718	222
625,17072	300
625,29431	17
