Date and Time:                Thu Mar 13 16:07:41.171 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-37
285,25879	-7
285,76248	21
286,26624	-96
286,77002	104
287,2738	42
287,77762	87
288,28146	5
288,78534	-27
289,28922	107
289,79312	73
290,29709	1
290,80103	-18
291,30502	-94
291,80905	112
292,31308	129
292,81714	104
293,32123	-86
293,82532	-136
294,32947	19
294,83362	-50
295,3378	-36
295,84201	80
296,34625	-60
296,85049	-7
297,35477	-36
297,8591	158
298,3634	48
298,86777	85
299,37213	136
299,87656	91
300,38098	46
300,88544	-108
301,38989	54
301,89441	171
302,39893	-75
302,90347	-9
303,40805	38
303,91263	105
304,41727	-119
304,92191	-57
305,42657	-3
305,93127	-7
306,436	69
306,94073	-46
307,4455	84
307,95029	-14
308,45511	3
308,95996	-22
309,46481	3
309,9697	120
310,47461	53
310,97955	-38
311,48453	10
311,9895	31
312,49451	-43
312,99954	48
313,50461	27
314,0097	37
314,5148	111
315,01993	50
315,52509	84
316,03027	43
316,53549	84
317,04071	-40
317,54596	-21
318,05124	-30
318,55655	31
319,06186	48
319,56723	-100
320,0726	79
320,578	20
321,08344	156
321,58887	13
322,09436	75
322,59985	61
323,10538	-134
323,6109	76
324,11649	11
324,62207	-1
325,12769	59
325,63333	-31
326,13901	57
326,64471	-35
327,15042	85
327,65616	26
328,16193	68
328,66772	51
329,17352	-41
329,67938	159
330,18524	49
330,69113	141
331,19702	78
331,70297	-82
332,20892	16
332,7149	57
333,22092	-16
333,72696	47
334,23303	50
334,73911	-9
335,24521	194
335,75134	106
336,25751	-97
336,76367	-162
337,26987	149
337,77609	-10
338,28235	125
338,78864	-116
339,29492	56
339,80127	56
340,30762	-44
340,814	4
341,32037	96
341,82681	114
342,33325	-54
342,83972	-15
343,34622	65
343,85275	158
344,35928	43
344,86588	-4
345,37247	68
345,87906	-58
346,38571	24
346,8924	109
