Date and Time:                Thu Mar 13 14:06:27.548 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-405
285,25879	-347
285,76248	-257
286,26624	-352
286,77002	-377
287,2738	-349
287,77762	-470
288,28146	-195
288,78534	-397
289,28922	-1045
289,79312	-187
290,29709	-251
290,80103	-298
291,30502	-327
291,80905	-367
292,31308	-246
292,81714	-410
293,32123	-231
293,82532	-295
294,32947	-306
294,83362	-178
295,3378	-234
295,84201	-243
296,34625	-252
296,85049	-385
297,35477	-345
297,8591	-367
298,3634	-293
298,86777	-345
299,37213	-356
299,87656	-453
300,38098	-382
300,88544	-231
301,38989	-289
301,89441	-384
302,39893	-420
302,90347	-404
303,40805	-232
303,91263	-317
304,41727	-412
304,92191	-411
305,42657	-430
305,93127	-214
306,436	-370
306,94073	-349
307,4455	-329
307,95029	-248
308,45511	-348
308,95996	-312
309,46481	-307
309,9697	-386
310,47461	-469
310,97955	-418
311,48453	-278
311,9895	-298
312,49451	-362
312,99954	-355
313,50461	-305
314,0097	-212
314,5148	-395
315,01993	-288
315,52509	-380
316,03027	-478
316,53549	-261
317,04071	-316
317,54596	-312
318,05124	-168
318,55655	-274
319,06186	-243
319,56723	-235
320,0726	-168
320,578	-129
321,08344	-374
321,58887	-352
322,09436	-326
322,59985	-168
323,10538	-370
323,6109	-273
324,11649	-419
324,62207	-410
325,12769	-439
325,63333	-309
326,13901	-363
326,64471	-303
327,15042	-276
327,65616	-286
328,16193	-303
328,66772	-274
329,17352	-207
329,67938	-322
330,18524	-250
330,69113	-264
331,19702	-273
331,70297	-256
332,20892	-386
332,7149	-270
333,22092	-324
333,72696	-121
334,23303	-357
334,73911	-487
335,24521	-324
335,75134	-361
336,25751	-206
336,76367	-439
337,26987	-337
337,77609	-251
338,28235	-335
338,78864	-379
339,29492	-337
339,80127	-324
340,30762	-381
340,814	-302
341,32037	-270
341,82681	-363
342,33325	-431
342,83972	-221
343,34622	-350
343,85275	-330
344,35928	-378
344,86588	-369
345,37247	-251
345,87906	-356
346,38571	-268
346,8924	-289
347,39908	-332
347,90579	-249
348,41254	-388
348,91928	-93
349,42609	-371
349,93289	-331
350,43973	-397
350,94659	-321
351,45349	-286
351,96039	-264
