Date and Time:                Thu Mar 13 16:28:02.347 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	12
285,25879	36
285,76248	25
286,26624	50
286,77002	19
287,2738	51
287,77762	68
288,28146	23
288,78534	31
289,28922	47
289,79312	11
290,29709	71
290,80103	-11
291,30502	42
291,80905	18
292,31308	35
292,81714	22
293,32123	0
293,82532	28
294,32947	15
294,83362	14
295,3378	38
295,84201	32
296,34625	9
296,85049	77
297,35477	5
297,8591	-2
298,3634	46
298,86777	24
299,37213	12
299,87656	1
300,38098	41
300,88544	89
301,38989	4
301,89441	27
302,39893	33
302,90347	69
303,40805	-5
303,91263	7
304,41727	76
304,92191	7
305,42657	68
305,93127	41
306,436	52
306,94073	57
307,4455	25
307,95029	27
308,45511	10
308,95996	2
309,46481	-31
309,9697	56
310,47461	10
310,97955	10
311,48453	30
311,9895	32
312,49451	21
312,99954	-43
313,50461	58
314,0097	57
314,5148	2
315,01993	59
315,52509	41
316,03027	56
316,53549	16
317,04071	14
317,54596	78
318,05124	61
318,55655	35
319,06186	36
319,56723	40
320,0726	-4
320,578	56
321,08344	11
321,58887	34
322,09436	46
322,59985	45
323,10538	45
323,6109	33
324,11649	22
324,62207	9
325,12769	-8
325,63333	-3
326,13901	4
326,64471	-20
327,15042	65
327,65616	1
328,16193	0
328,66772	9
329,17352	33
329,67938	60
330,18524	21
330,69113	33
331,19702	0
331,70297	12
332,20892	41
332,7149	41
333,22092	54
333,72696	29
334,23303	54
334,73911	81
335,24521	32
335,75134	1
336,25751	25
336,76367	25
337,26987	58
337,77609	56
338,28235	34
338,78864	-15
339,29492	46
339,80127	-21
340,30762	10
340,814	61
341,32037	13
341,82681	-4
342,33325	54
342,83972	6
343,34622	55
343,85275	47
344,35928	23
344,86588	8
345,37247	4
345,87906	-19
346,38571	28
346,8924	85
347,39908	33
347,90579	7
348,41254	47
348,91928	2
349,42609	12
349,93289	3
350,43973	-5
350,94659	36
351,45349	44
351,96039	35
352,46732	35
352,97427	25
353,48126	40
353,98828	84
354,4953	57
355,00235	71
355,50943	-10
356,01654	27
356,52368	22
357,03082	17
357,53802	47
358,04523	26
358,55243	65
359,05969	80
359,56696	24
360,07428	58
360,5816	-7
