Date and Time:                Mon Mar 17 13:26:05.839 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-117
285,25879	102
285,76248	31
286,26624	-33
286,77002	56
287,2738	42
287,77762	10
288,28146	2
288,78534	-31
289,28922	454
289,79312	-4
290,29709	-9
290,80103	-58
291,30502	68
291,80905	139
292,31308	-81
292,81714	-17
293,32123	-11
293,82532	-58
294,32947	2
294,83362	32
295,3378	44
295,84201	42
296,34625	61
296,85049	-83
297,35477	118
297,8591	-30
298,3634	-39
298,86777	3
299,37213	-5
299,87656	-82
300,38098	-101
300,88544	13
301,38989	191
301,89441	20
302,39893	-85
302,90347	-31
303,40805	-11
303,91263	-123
304,41727	53
304,92191	112
305,42657	44
305,93127	107
306,436	74
306,94073	-142
307,4455	-73
307,95029	-11
308,45511	127
308,95996	-29
309,46481	-49
309,9697	133
310,47461	59
310,97955	-92
311,48453	227
311,9895	130
312,49451	65
312,99954	-20
313,50461	-67
314,0097	-49
314,5148	14
315,01993	113
315,52509	97
316,03027	34
316,53549	-140
317,04071	-83
317,54596	-135
318,05124	-38
318,55655	-33
319,06186	-94
319,56723	-17
320,0726	-62
320,578	-79
321,08344	31
321,58887	-32
322,09436	-66
322,59985	-30
323,10538	38
323,6109	-23
324,11649	-111
324,62207	57
325,12769	-60
325,63333	124
326,13901	-55
326,64471	-137
327,15042	22
327,65616	76
328,16193	101
328,66772	7
329,17352	-1
329,67938	-37
330,18524	-44
330,69113	45
331,19702	131
331,70297	7
332,20892	19
332,7149	7
333,22092	0
333,72696	180
334,23303	106
334,73911	70
335,24521	-47
335,75134	53
336,25751	138
336,76367	15
337,26987	42
337,77609	-171
338,28235	-31
338,78864	-7
339,29492	69
339,80127	29
340,30762	80
340,814	-12
341,32037	38
341,82681	105
342,33325	-134
342,83972	89
343,34622	-16
343,85275	-23
344,35928	3
344,86588	38
345,37247	39
345,87906	-21
