Date and Time:                Mon Mar 17 14:20:12.773 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-34
285,25879	154
285,76248	-89
286,26624	-119
286,77002	-73
287,2738	-134
287,77762	-8
288,28146	-43
288,78534	-43
289,28922	20
289,79312	-40
290,29709	158
290,80103	-45
291,30502	-15
291,80905	28
292,31308	103
292,81714	1
293,32123	154
293,82532	24
294,32947	86
294,83362	-1
295,3378	46
295,84201	107
296,34625	-99
296,85049	83
297,35477	39
297,8591	30
298,3634	98
298,86777	-65
299,37213	-92
299,87656	72
300,38098	32
300,88544	-57
301,38989	61
301,89441	168
302,39893	59
302,90347	5
303,40805	-11
303,91263	-42
304,41727	49
304,92191	104
305,42657	-130
305,93127	-56
306,436	32
306,94073	137
307,4455	15
307,95029	-5
308,45511	40
308,95996	158
309,46481	-40
309,9697	-127
310,47461	179
310,97955	59
311,48453	75
311,9895	-3
312,49451	-48
312,99954	18
313,50461	-23
314,0097	11
314,5148	-15
315,01993	74
315,52509	-167
316,03027	54
316,53549	-13
317,04071	111
317,54596	-1
318,05124	11
318,55655	56
319,06186	45
319,56723	-166
320,0726	171
320,578	208
321,08344	158
321,58887	-17
322,09436	-41
322,59985	42
323,10538	1
323,6109	44
324,11649	31
324,62207	-42
325,12769	-22
325,63333	130
326,13901	-25
326,64471	176
327,15042	-29
327,65616	69
328,16193	82
328,66772	61
329,17352	62
329,67938	-17
330,18524	9
330,69113	88
331,19702	-29
331,70297	18
332,20892	-4
332,7149	19
333,22092	-89
333,72696	-1
334,23303	-152
334,73911	-65
335,24521	-99
335,75134	68
336,25751	-67
336,76367	-37
337,26987	-94
337,77609	58
338,28235	-17
338,78864	115
339,29492	18
339,80127	-16
340,30762	135
340,814	-47
341,32037	-58
341,82681	-1
342,33325	-73
342,83972	-14
343,34622	53
343,85275	18
344,35928	-69
344,86588	70
345,37247	93
345,87906	-81
