Date and Time:                Tue Mar 18 13:27:45.491 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-110
285,25876	-8
285,76248	-27
286,26624	-201
286,77002	-120
287,2738	-142
287,77762	-76
288,28146	-106
288,78531	-43
289,28922	-86
289,79312	-8
290,29706	-7
290,80103	-39
291,30502	-39
291,80902	-281
292,31308	-3
292,81714	-93
293,32123	-96
293,82532	-219
294,32947	-52
294,83362	-46
295,3378	-43
295,84201	-15
296,34625	-360
296,85049	-115
297,35477	-23
297,85907	-17
298,3634	-67
298,86777	-95
299,37213	-168
299,87656	-97
300,38098	-51
300,88541	-109
301,38989	13
301,89441	-190
302,39893	73
302,90347	-165
303,40805	62
303,91263	-4
304,41727	-190
304,92191	-67
305,42657	6
305,93127	-64
306,43597	-40
306,94073	24
307,4455	-150
307,95029	-127
308,45511	-163
308,95993	-56
309,46481	50
309,9697	-119
310,47461	-117
310,97955	-147
311,4845	-111
311,9895	-156
312,49451	-155
312,99954	-126
313,50461	-45
314,00967	-60
314,5148	-11
315,01993	-199
315,52509	-34
316,03027	3
316,53546	-66
317,04071	5
317,54596	-23
318,05124	30
318,55655	4
319,06186	28
319,56723	-1
320,0726	2
320,578	43
321,08344	-104
321,58887	-74
322,09433	47
322,59985	-70
323,10538	-53
323,6109	-46
324,11649	-152
324,62207	-154
325,12769	-150
325,63333	-53
326,13901	-28
326,64471	-177
327,15042	-171
327,65616	-154
328,16193	3
328,66772	26
329,17352	-44
329,67938	-211
330,18524	-81
330,69113	-88
331,19702	10
331,70297	-75
332,20892	-63
332,7149	-45
333,22092	-13
333,72696	-91
334,233	-56
334,73911	-36
335,24521	-97
335,75134	-85
336,25748	-71
336,76367	25
337,26987	-102
337,77609	39
338,28235	-96
338,78864	-87
339,29492	44
339,80127	-98
340,30762	-103
340,814	-186
341,32037	-64
341,82681	-5
342,33325	-201
342,83972	-72
343,34622	-39
343,85275	-143
344,35928	-115
344,86584	-101
345,37247	-94
345,87906	-11
346,38571	3
346,89236	-91
347,39908	-75
347,90579	-38
348,41254	-67
348,91928	-56
349,42609	-184
349,93289	-98
350,43973	-134
350,94659	95
351,45349	-30
351,96039	-108
352,46732	99
352,97427	4
353,48126	33
