Date and Time:                Tue Mar 18 15:21:43.510 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	21
285,25876	30
285,76248	66
286,26624	27
286,77002	75
287,2738	-178
287,77762	-78
288,28146	-9
288,78531	-47
289,28922	-27
289,79312	-52
290,29706	-70
290,80103	-162
291,30502	-193
291,80902	-61
292,31308	-45
292,81714	72
293,32123	40
293,82532	-111
294,32947	20
294,83362	-189
295,3378	12
295,84201	-6
296,34625	-67
296,85049	-143
297,35477	-2
297,85907	42
298,3634	-113
298,86777	12
299,37213	52
299,87656	-116
300,38098	-112
300,88541	21
301,38989	138
301,89441	-6
302,39893	-129
302,90347	-110
303,40805	26
303,91263	58
304,41727	-145
304,92191	-22
305,42657	-131
305,93127	-54
306,43597	-186
306,94073	73
307,4455	-13
307,95029	-8
308,45511	-190
308,95993	-34
309,46481	26
309,9697	45
310,47461	148
310,97955	38
311,4845	-64
311,9895	35
312,49451	48
312,99954	139
313,50461	43
314,00967	-35
314,5148	-93
315,01993	69
315,52509	12
316,03027	-43
316,53546	47
317,04071	-37
317,54596	33
318,05124	23
318,55655	-15
319,06186	-78
319,56723	-124
320,0726	-34
320,578	44
321,08344	-102
321,58887	-83
322,09433	-22
322,59985	-27
323,10538	-87
323,6109	141
324,11649	-104
324,62207	39
325,12769	45
325,63333	-63
326,13901	145
326,64471	-93
327,15042	5
327,65616	-92
328,16193	-15
328,66772	-24
329,17352	-101
329,67938	-63
330,18524	-32
330,69113	-3
331,19702	-72
331,70297	84
332,20892	-133
332,7149	-32
333,22092	-49
333,72696	-61
334,233	-38
334,73911	119
335,24521	27
335,75134	36
336,25748	5
336,76367	-11
337,26987	168
337,77609	-74
338,28235	85
338,78864	-11
339,29492	-56
339,80127	-68
340,30762	13
340,814	-135
341,32037	24
341,82681	-140
342,33325	-141
342,83972	-43
343,34622	-129
343,85275	123
344,35928	9
344,86584	-81
