Date and Time:                Tue Mar 18 17:15:38.413 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	214
285,25876	179
285,76248	61
286,26624	4
286,77002	182
287,2738	188
287,77762	224
288,28146	199
288,78531	73
289,28922	200
289,79312	206
290,29706	162
290,80103	44
291,30502	244
291,80902	129
292,31308	173
292,81714	275
293,32123	57
293,82532	297
294,32947	23
294,83362	149
295,3378	130
295,84201	38
296,34625	72
296,85049	162
297,35477	41
297,85907	180
298,3634	208
298,86777	-14
299,37213	176
299,87656	97
300,38098	133
300,88541	145
301,38989	113
301,89441	201
302,39893	144
302,90347	189
303,40805	169
303,91263	203
304,41727	172
304,92191	130
305,42657	224
305,93127	82
306,43597	211
306,94073	66
307,4455	214
307,95029	176
308,45511	128
308,95993	76
309,46481	206
309,9697	79
310,47461	122
310,97955	137
311,4845	199
311,9895	21
312,49451	59
312,99954	149
313,50461	16
314,00967	39
314,5148	62
315,01993	147
315,52509	56
316,03027	68
316,53546	182
317,04071	184
317,54596	234
318,05124	52
318,55655	32
319,06186	136
319,56723	72
320,0726	63
320,578	56
321,08344	101
321,58887	160
322,09433	116
322,59985	50
323,10538	131
323,6109	82
324,11649	92
324,62207	239
325,12769	35
325,63333	160
326,13901	91
326,64471	140
327,15042	110
327,65616	125
328,16193	55
328,66772	107
329,17352	-96
329,67938	143
330,18524	90
330,69113	159
331,19702	60
331,70297	125
332,20892	67
332,7149	7
333,22092	263
333,72696	116
334,233	208
334,73911	-86
335,24521	51
335,75134	80
336,25748	100
336,76367	0
337,26987	217
337,77609	51
338,28235	92
338,78864	45
339,29492	113
339,80127	72
340,30762	66
340,814	111
341,32037	99
341,82681	28
342,33325	198
342,83972	77
343,34622	152
343,85275	188
344,35928	228
344,86584	112
345,37247	57
345,87906	142
346,38571	173
346,89236	97
347,39908	180
347,90579	189
348,41254	34
348,91928	288
349,42609	9
349,93289	17
