Date and Time:                Tue Mar 18 17:37:06.440 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	60
285,25876	-49
285,76248	58
286,26624	20
286,77002	94
287,2738	-99
287,77762	-84
288,28146	-32
288,78531	-52
289,28922	-634
289,79312	-25
290,29706	-17
290,80103	-27
291,30502	87
291,80902	73
292,31308	-17
292,81714	58
293,32123	-7
293,82532	-16
294,32947	-28
294,83362	104
295,3378	100
295,84201	2
296,34625	92
296,85049	-69
297,35477	8
297,85907	-16
298,3634	-79
298,86777	-118
299,37213	14
299,87656	127
300,38098	78
300,88541	-11
301,38989	123
301,89441	239
302,39893	-17
302,90347	-28
303,40805	-40
303,91263	77
304,41727	-10
304,92191	1
305,42657	-71
305,93127	135
306,43597	158
306,94073	-37
307,4455	-58
307,95029	70
308,45511	66
308,95993	-16
309,46481	41
309,9697	126
310,47461	0
310,97955	-41
311,4845	32
311,9895	-168
312,49451	53
312,99954	-41
313,50461	-18
314,00967	36
314,5148	23
315,01993	70
315,52509	15
316,03027	100
316,53546	58
317,04071	67
317,54596	117
318,05124	52
318,55655	9
319,06186	35
319,56723	71
320,0726	46
320,578	-55
321,08344	-2
321,58887	111
322,09433	79
322,59985	55
323,10538	4
323,6109	45
324,11649	-18
324,62207	100
325,12769	-32
325,63333	47
326,13901	-18
326,64471	81
327,15042	57
327,65616	-60
328,16193	47
328,66772	62
329,17352	-80
329,67938	20
330,18524	-87
330,69113	-39
331,19702	-52
331,70297	-28
332,20892	19
332,7149	-58
333,22092	-9
333,72696	119
334,233	68
334,73911	78
335,24521	42
335,75134	44
336,25748	-84
336,76367	-106
337,26987	101
337,77609	22
338,28235	-42
338,78864	-45
339,29492	55
339,80127	53
340,30762	2
340,814	-3
341,32037	-39
341,82681	12
342,33325	14
342,83972	-200
343,34622	-39
343,85275	83
344,35928	-51
344,86584	139
345,37247	40
345,87906	-109
346,38571	-150
