Date and Time:                Tue Mar 18 13:40:14.004 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-9
285,25876	25
285,76248	-122
286,26624	-22
286,77002	37
287,2738	6
287,77762	65
288,28146	159
288,78531	33
289,28922	-565
289,79312	90
290,29706	-19
290,80103	-46
291,30502	27
291,80902	37
292,31308	10
292,81714	-147
293,32123	15
293,82532	-30
294,32947	15
294,83362	68
295,3378	157
295,84201	75
296,34625	-184
296,85049	65
297,35477	107
297,85907	46
298,3634	-36
298,86777	-62
299,37213	-12
299,87656	2
300,38098	164
300,88541	9
301,38989	-55
301,89441	-2
302,39893	39
302,90347	-48
303,40805	40
303,91263	20
304,41727	138
304,92191	-46
305,42657	19
305,93127	-56
306,43597	53
306,94073	8
307,4455	-66
307,95029	73
308,45511	24
308,95993	11
309,46481	26
309,9697	28
310,47461	61
310,97955	41
311,4845	71
311,9895	-35
312,49451	116
312,99954	32
313,50461	4
314,00967	72
314,5148	68
315,01993	-20
315,52509	-14
316,03027	-143
316,53546	74
317,04071	-5
317,54596	71
318,05124	-24
318,55655	-42
319,06186	-80
319,56723	32
320,0726	11
320,578	-2
321,08344	63
321,58887	-98
322,09433	87
322,59985	-8
323,10538	-82
323,6109	-116
324,11649	103
324,62207	236
325,12769	6
325,63333	-55
326,13901	25
326,64471	43
327,15042	37
327,65616	60
328,16193	77
328,66772	-15
329,17352	44
329,67938	22
330,18524	17
330,69113	8
331,19702	32
331,70297	-24
332,20892	-95
332,7149	-31
333,22092	39
333,72696	-13
334,233	100
334,73911	71
335,24521	63
335,75134	-113
336,25748	48
336,76367	-61
337,26987	53
337,77609	-19
338,28235	67
338,78864	-16
339,29492	79
339,80127	-108
340,30762	-33
340,814	-17
341,32037	273
341,82681	141
342,33325	9
342,83972	-34
343,34622	-1
343,85275	4
344,35928	-37
344,86584	-19
345,37247	-82
345,87906	125
346,38571	80
346,89236	-16
