Date and Time:                Tue Mar 18 13:22:28.679 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	51
285,25876	44
285,76248	5
286,26624	125
286,77002	75
287,2738	-53
287,77762	38
288,28146	83
288,78531	-1
289,28922	97
289,79312	14
290,29706	-43
290,80103	-78
291,30502	20
291,80902	48
292,31308	31
292,81714	117
293,32123	5
293,82532	10
294,32947	56
294,83362	95
295,3378	115
295,84201	43
296,34625	0
296,85049	82
297,35477	11
297,85907	30
298,3634	71
298,86777	43
299,37213	-70
299,87656	13
300,38098	52
300,88541	3
301,38989	33
301,89441	48
302,39893	115
302,90347	42
303,40805	60
303,91263	13
304,41727	74
304,92191	79
305,42657	93
305,93127	100
306,43597	128
306,94073	128
307,4455	74
307,95029	11
308,45511	239
308,95993	-8
309,46481	107
309,9697	185
310,47461	196
310,97955	138
311,4845	40
311,9895	-76
312,49451	28
312,99954	72
313,50461	-11
314,00967	-30
314,5148	146
315,01993	118
315,52509	21
316,03027	54
316,53546	184
317,04071	-101
317,54596	37
318,05124	-39
318,55655	52
319,06186	72
319,56723	29
320,0726	77
320,578	3
321,08344	-31
321,58887	51
322,09433	73
322,59985	-23
323,10538	219
323,6109	-7
324,11649	-57
324,62207	131
325,12769	146
325,63333	-111
326,13901	59
326,64471	76
327,15042	75
327,65616	109
328,16193	-77
328,66772	91
329,17352	50
329,67938	84
330,18524	123
330,69113	136
331,19702	-27
331,70297	63
332,20892	113
332,7149	57
333,22092	118
333,72696	19
334,233	65
334,73911	124
335,24521	-9
335,75134	135
336,25748	-10
336,76367	-64
337,26987	22
337,77609	-76
338,28235	11
338,78864	-57
339,29492	101
339,80127	115
340,30762	11
340,814	119
341,32037	-25
341,82681	19
342,33325	124
342,83972	65
343,34622	22
343,85275	-25
344,35928	30
344,86584	44
345,37247	-11
345,87906	124
346,38571	79
346,89236	40
347,39908	-16
347,90579	44
348,41254	198
348,91928	62
349,42609	-83
349,93289	52
350,43973	88
350,94659	83
351,45349	102
351,96039	86
352,46732	86
352,97427	-110
353,48126	-7
353,98828	-19
354,4953	96
355,00235	27
355,50943	-45
356,01654	121
356,52368	110
357,03082	77
357,53799	169
358,0452	-19
358,55243	41
359,05969	71
359,56696	71
