Date and Time:                Wed Mar 19 08:41:21.531 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	58
285,25876	129
285,76248	67
286,26624	164
286,77002	146
287,2738	136
287,77762	-21
288,28146	276
288,78531	107
289,28922	101
289,79312	212
290,29706	53
290,80103	0
291,30502	136
291,80902	131
292,31308	187
292,81714	101
293,32123	58
293,82532	217
294,32947	122
294,83362	190
295,3378	-19
295,84201	86
296,34625	359
296,85049	207
297,35477	-7
297,85907	221
298,3634	203
298,86777	60
299,37213	205
299,87656	137
300,38098	136
300,88541	265
301,38989	297
301,89441	221
302,39893	200
302,90347	-36
303,40805	117
303,91263	66
304,41727	86
304,92191	116
305,42657	43
305,93127	-11
306,43597	211
306,94073	64
307,4455	232
307,95029	156
308,45511	-34
308,95993	131
309,46481	126
309,9697	95
310,47461	20
310,97955	122
311,4845	151
311,9895	226
312,49451	95
312,99954	31
313,50461	148
314,00967	173
314,5148	161
315,01993	191
315,52509	248
316,03027	131
316,53546	132
317,04071	76
317,54596	196
318,05124	180
318,55655	85
319,06186	126
319,56723	129
320,0726	117
320,578	182
321,08344	118
321,58887	102
322,09433	247
322,59985	186
323,10538	106
323,6109	101
324,11649	147
324,62207	79
325,12769	163
325,63333	109
326,13901	260
326,64471	34
327,15042	195
327,65616	312
328,16193	178
328,66772	202
329,17352	159
329,67938	106
330,18524	90
330,69113	304
331,19702	342
331,70297	285
332,20892	89
332,7149	219
333,22092	157
333,72696	157
334,233	65
334,73911	236
335,24521	58
335,75134	143
336,25748	264
336,76367	167
337,26987	172
337,77609	-35
338,28235	243
338,78864	124
339,29492	-84
339,80127	127
340,30762	158
340,814	132
341,32037	104
341,82681	226
342,33325	38
342,83972	297
343,34622	206
343,85275	141
344,35928	106
344,86584	235
345,37247	190
345,87906	80
346,38571	162
346,89236	162
347,39908	80
347,90579	39
348,41254	79
348,91928	67
349,42609	328
349,93289	130
