Date and Time:                Wed Mar 19 10:21:44.542 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-17
285,25876	-128
285,76248	-6
286,26624	-23
286,77002	-249
287,2738	-182
287,77762	-155
288,28146	-112
288,78531	-8
289,28922	-197
289,79312	-117
290,29706	-134
290,80103	-144
291,30502	-42
291,80902	-194
292,31308	-155
292,81714	-29
293,32123	-204
293,82532	-159
294,32947	-306
294,83362	7
295,3378	-12
295,84201	-95
296,34625	-97
296,85049	-67
297,35477	-83
297,85907	-221
298,3634	99
298,86777	-45
299,37213	51
299,87656	-107
300,38098	-92
300,88541	-93
301,38989	-59
301,89441	-94
302,39893	-23
302,90347	-116
303,40805	-33
303,91263	-127
304,41727	-90
304,92191	-173
305,42657	-225
305,93127	-149
306,43597	-31
306,94073	-79
307,4455	-143
307,95029	14
308,45511	-37
308,95993	-112
309,46481	-131
309,9697	-114
310,47461	-3
310,97955	-103
311,4845	33
311,9895	-195
312,49451	-152
312,99954	15
313,50461	-46
314,00967	-119
314,5148	-36
315,01993	-116
315,52509	-188
316,03027	-126
316,53546	-151
317,04071	15
317,54596	24
318,05124	-154
318,55655	-183
319,06186	-53
319,56723	-110
320,0726	-68
320,578	-21
321,08344	-53
321,58887	-32
322,09433	-128
322,59985	25
323,10538	-33
323,6109	-41
324,11649	12
324,62207	-58
325,12769	-190
325,63333	-77
326,13901	14
326,64471	40
327,15042	-100
327,65616	-66
328,16193	-280
328,66772	-75
329,17352	-148
329,67938	-64
330,18524	-66
330,69113	-78
331,19702	-55
331,70297	19
332,20892	-16
332,7149	-108
333,22092	-232
333,72696	24
334,233	82
334,73911	-229
335,24521	-8
335,75134	47
336,25748	-135
336,76367	-70
337,26987	-72
337,77609	-30
338,28235	-56
338,78864	-88
339,29492	-85
339,80127	-7
340,30762	-43
340,814	21
341,32037	-124
341,82681	-121
342,33325	7
342,83972	-62
343,34622	-213
343,85275	-73
344,35928	-200
344,86584	-15
345,37247	3
345,87906	83
346,38571	-58
346,89236	-114
347,39908	-104
347,90579	-47
348,41254	-198
348,91928	-30
349,42609	4
349,93289	-102
350,43973	-90
350,94659	-11
351,45349	-72
351,96039	-52
352,46732	-121
352,97427	-137
353,48126	2
