Date and Time:                Wed Mar 19 08:48:57.469 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	140
285,25876	88
285,76248	-12
286,26624	-4
286,77002	34
287,2738	159
287,77762	46
288,28146	-119
288,78531	-81
289,28922	9
289,79312	6
290,29706	41
290,80103	-64
291,30502	126
291,80902	156
292,31308	58
292,81714	-59
293,32123	70
293,82532	8
294,32947	-88
294,83362	63
295,3378	-85
295,84201	200
296,34625	181
296,85049	80
297,35477	-19
297,85907	0
298,3634	6
298,86777	50
299,37213	-71
299,87656	29
300,38098	74
300,88541	-57
301,38989	-34
301,89441	1
302,39893	-141
302,90347	158
303,40805	-20
303,91263	-65
304,41727	38
304,92191	67
305,42657	-119
305,93127	93
306,43597	-58
306,94073	41
307,4455	87
307,95029	41
308,45511	-38
308,95993	-59
309,46481	-12
309,9697	111
310,47461	-57
310,97955	0
311,4845	47
311,9895	56
312,49451	35
312,99954	54
313,50461	-14
314,00967	88
314,5148	93
315,01993	-39
315,52509	-24
316,03027	-52
316,53546	232
317,04071	55
317,54596	-8
318,05124	194
318,55655	35
319,06186	65
319,56723	75
320,0726	-7
320,578	-12
321,08344	122
321,58887	-47
322,09433	-66
322,59985	-8
323,10538	16
323,6109	-4
324,11649	-154
324,62207	20
325,12769	26
325,63333	28
326,13901	2
326,64471	-29
327,15042	-34
327,65616	-48
328,16193	20
328,66772	-9
329,17352	-52
329,67938	-81
330,18524	-7
330,69113	100
331,19702	-18
331,70297	-22
332,20892	21
332,7149	30
333,22092	49
333,72696	51
334,233	28
334,73911	-1
335,24521	-69
335,75134	26
336,25748	-103
336,76367	-56
337,26987	13
337,77609	40
338,28235	-97
338,78864	9
339,29492	-56
339,80127	74
340,30762	19
340,814	83
341,32037	-41
341,82681	-11
342,33325	-204
342,83972	67
343,34622	-83
343,85275	61
344,35928	-64
344,86584	92
345,37247	43
345,87906	76
346,38571	-3
