Date and Time:                Wed Mar 19 09:28:50.897 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	46
285,25876	-135
285,76248	-121
286,26624	-82
286,77002	-15
287,2738	-162
287,77762	-70
288,28146	37
288,78531	-19
289,28922	87
289,79312	83
290,29706	-106
290,80103	22
291,30502	-49
291,80902	86
292,31308	-39
292,81714	-40
293,32123	75
293,82532	-82
294,32947	157
294,83362	3
295,3378	8
295,84201	-138
296,34625	-85
296,85049	-125
297,35477	111
297,85907	-148
298,3634	-190
298,86777	-117
299,37213	-90
299,87656	-18
300,38098	-36
300,88541	-11
301,38989	2
301,89441	55
302,39893	-87
302,90347	-27
303,40805	39
303,91263	0
304,41727	-26
304,92191	81
305,42657	74
305,93127	-14
306,43597	-137
306,94073	-96
307,4455	-105
307,95029	-130
308,45511	27
308,95993	-145
309,46481	-186
309,9697	-115
310,47461	17
310,97955	2
311,4845	37
311,9895	26
312,49451	-32
312,99954	-3
313,50461	-65
314,00967	-53
314,5148	-174
315,01993	-82
315,52509	80
316,03027	-20
316,53546	23
317,04071	-145
317,54596	-16
318,05124	30
318,55655	-59
319,06186	-76
319,56723	-10
320,0726	-63
320,578	-43
321,08344	-71
321,58887	-44
322,09433	160
322,59985	-71
323,10538	42
323,6109	-43
324,11649	-42
324,62207	-119
325,12769	-39
325,63333	-146
326,13901	-28
326,64471	-61
327,15042	-41
327,65616	21
328,16193	58
328,66772	26
329,17352	-175
329,67938	-68
330,18524	6
330,69113	-179
331,19702	97
331,70297	-86
332,20892	34
332,7149	-139
333,22092	-129
333,72696	-63
334,233	-82
334,73911	1
335,24521	-90
335,75134	-166
336,25748	-97
336,76367	23
337,26987	-129
337,77609	-131
338,28235	-285
338,78864	-11
339,29492	21
339,80127	-12
340,30762	91
340,814	36
341,32037	-73
341,82681	-17
342,33325	-55
342,83972	-58
343,34622	82
343,85275	-131
344,35928	22
