Date and Time:                Wed Mar 19 10:29:34.851 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-108
285,25876	-76
285,76248	36
286,26624	-111
286,77002	-102
287,2738	-142
287,77762	-68
288,28146	80
288,78531	-133
289,28922	-185
289,79312	4
290,29706	-109
290,80103	-187
291,30502	-89
291,80902	-137
292,31308	-154
292,81714	-60
293,32123	-97
293,82532	-186
294,32947	-272
294,83362	-66
295,3378	-83
295,84201	-43
296,34625	-21
296,85049	-271
297,35477	-133
297,85907	-147
298,3634	-162
298,86777	-137
299,37213	-59
299,87656	-191
300,38098	-85
300,88541	42
301,38989	-193
301,89441	40
302,39893	-68
302,90347	-78
303,40805	-173
303,91263	-90
304,41727	-17
304,92191	-226
305,42657	-78
305,93127	36
306,43597	-83
306,94073	-232
307,4455	-243
307,95029	-161
308,45511	-164
308,95993	10
309,46481	4
309,9697	-56
310,47461	-92
310,97955	-7
311,4845	-86
311,9895	-103
312,49451	-142
312,99954	-50
313,50461	-59
314,00967	-121
314,5148	-45
315,01993	-238
315,52509	-83
316,03027	-41
316,53546	-97
317,04071	-34
317,54596	-136
318,05124	-22
318,55655	-146
319,06186	-175
319,56723	-150
320,0726	-80
320,578	-146
321,08344	-90
321,58887	4
322,09433	-141
322,59985	-158
323,10538	-196
323,6109	-160
324,11649	-89
324,62207	-139
325,12769	-81
325,63333	-216
326,13901	-88
326,64471	-3
327,15042	-35
327,65616	-99
328,16193	-193
328,66772	-129
329,17352	-136
329,67938	-75
330,18524	-174
330,69113	-54
331,19702	-243
331,70297	-141
332,20892	-12
332,7149	-125
333,22092	-80
333,72696	-222
334,233	-129
334,73911	-104
335,24521	-51
335,75134	-78
336,25748	-80
336,76367	-165
337,26987	-189
337,77609	-117
338,28235	-52
338,78864	-53
339,29492	-114
339,80127	-58
340,30762	-44
340,814	-30
341,32037	-100
341,82681	-216
342,33325	77
342,83972	-103
343,34622	-68
343,85275	-113
344,35928	-197
344,86584	-69
345,37247	-106
345,87906	-161
346,38571	-16
346,89236	-110
347,39908	-15
347,90579	-60
348,41254	-107
348,91928	-8
349,42609	-33
349,93289	-79
350,43973	-5
350,94659	36
351,45349	5
351,96039	-56
352,46732	-126
352,97427	-132
