Date and Time:                Wed Mar 19 11:39:15.619 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	3
285,25876	-4
285,76248	6
286,26624	-9
286,77002	-7
287,2738	-12
287,77762	4
288,28146	15
288,78531	-8
289,28922	-3
289,79312	7
290,29706	7
290,80103	1
291,30502	7
291,80902	11
292,31308	14
292,81714	5
293,32123	9
293,82532	-6
294,32947	-7
294,83362	-6
295,3378	-8
295,84201	-9
296,34625	-7
296,85049	-8
297,35477	4
297,85907	7
298,3634	-2
298,86777	-8
299,37213	8
299,87656	-5
300,38098	-4
300,88541	9
301,38989	2
301,89441	9
302,39893	1
302,90347	3
303,40805	9
303,91263	-10
304,41727	5
304,92191	-3
305,42657	-18
305,93127	-7
306,43597	8
306,94073	8
307,4455	-7
307,95029	1
308,45511	5
308,95993	-10
309,46481	-6
309,9697	1
310,47461	-11
310,97955	4
311,4845	-11
311,9895	8
312,49451	16
312,99954	4
313,50461	-2
314,00967	-14
314,5148	4
315,01993	2
315,52509	-11
316,03027	0
316,53546	1
317,04071	-11
317,54596	17
318,05124	12
318,55655	6
319,06186	-6
319,56723	5
320,0726	-7
320,578	13
321,08344	-3
321,58887	-1
322,09433	1
322,59985	-14
323,10538	-10
323,6109	16
324,11649	-2
324,62207	5
325,12769	-9
325,63333	8
326,13901	-3
326,64471	2
327,15042	10
327,65616	-6
328,16193	-2
328,66772	-6
329,17352	4
329,67938	8
330,18524	5
330,69113	10
331,19702	-6
331,70297	-14
332,20892	17
332,7149	-11
333,22092	9
333,72696	-4
334,233	-7
334,73911	7
335,24521	-3
335,75134	-1
336,25748	10
336,76367	-9
337,26987	-2
337,77609	-3
338,28235	5
338,78864	-7
339,29492	2
339,80127	5
340,30762	1
340,814	5
341,32037	-2
341,82681	4
342,33325	-8
342,83972	-7
343,34622	-10
343,85275	1
344,35928	-13
344,86584	0
345,37247	-4
345,87906	-7
346,38571	-11
346,89236	-8
347,39908	-10
347,90579	-4
348,41254	-12
