Date and Time:                Wed Mar 19 11:48:51.339 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	95
285,25876	-17
285,76248	52
286,26624	-15
286,77002	-28
287,2738	-24
287,77762	-107
288,28146	116
288,78531	3
289,28922	48
289,79312	-22
290,29706	-94
290,80103	-22
291,30502	-75
291,80902	60
292,31308	-51
292,81714	-19
293,32123	-84
293,82532	-107
294,32947	-53
294,83362	-34
295,3378	244
295,84201	94
296,34625	383
296,85049	32
297,35477	56
297,85907	172
298,3634	11
298,86777	18
299,37213	100
299,87656	145
300,38098	96
300,88541	57
301,38989	-28
301,89441	76
302,39893	-60
302,90347	66
303,40805	3
303,91263	77
304,41727	-11
304,92191	-11
305,42657	6
305,93127	122
306,43597	-11
306,94073	144
307,4455	103
307,95029	-70
308,45511	102
308,95993	-102
309,46481	58
309,9697	-1
310,47461	-28
310,97955	0
311,4845	-49
311,9895	82
312,49451	-26
312,99954	99
313,50461	-100
314,00967	-81
314,5148	103
315,01993	39
315,52509	-90
316,03027	98
316,53546	28
317,04071	-5
317,54596	-26
318,05124	127
318,55655	37
319,06186	169
319,56723	78
320,0726	-83
320,578	-6
321,08344	41
321,58887	109
322,09433	-33
322,59985	-36
323,10538	100
323,6109	22
324,11649	55
324,62207	289
325,12769	-27
325,63333	37
326,13901	109
326,64471	-8
327,15042	199
327,65616	17
328,16193	53
328,66772	14
329,17352	22
329,67938	102
330,18524	111
330,69113	49
331,19702	23
331,70297	-154
332,20892	-32
332,7149	4
333,22092	4
333,72696	66
334,233	-18
334,73911	134
335,24521	-41
335,75134	7
336,25748	-18
336,76367	-68
337,26987	-79
337,77609	54
338,28235	85
338,78864	59
339,29492	-97
339,80127	90
340,30762	103
340,814	91
341,32037	68
341,82681	69
342,33325	-53
342,83972	59
343,34622	6
343,85275	112
344,35928	-77
344,86584	-50
345,37247	-34
345,87906	102
346,38571	38
346,89236	46
347,39908	52
347,90579	-1
348,41254	106
348,91928	-6
349,42609	-66
349,93289	115
350,43973	-143
350,94659	102
351,45349	95
351,96039	166
352,46732	159
352,97427	97
353,48126	34
353,98828	34
354,4953	-88
355,00235	22
355,50943	172
356,01654	-49
356,52368	73
357,03082	122
357,53799	79
358,0452	-61
