Date and Time:                Wed Mar 19 11:53:30.742 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-18
285,25876	-26
285,76248	100
286,26624	6
286,77002	21
287,2738	112
287,77762	-73
288,28146	29
288,78531	-40
289,28922	-26
289,79312	111
290,29706	55
290,80103	30
291,30502	-14
291,80902	58
292,31308	4
292,81714	28
293,32123	90
293,82532	-247
294,32947	110
294,83362	7
295,3378	-42
295,84201	-12
296,34625	23
296,85049	18
297,35477	9
297,85907	-36
298,3634	-192
298,86777	-100
299,37213	30
299,87656	-35
300,38098	215
300,88541	-67
301,38989	-76
301,89441	57
302,39893	-35
302,90347	-14
303,40805	-13
303,91263	17
304,41727	55
304,92191	38
305,42657	47
305,93127	56
306,43597	57
306,94073	1
307,4455	-14
307,95029	-30
308,45511	136
308,95993	85
309,46481	55
309,9697	52
310,47461	86
310,97955	54
311,4845	13
311,9895	-105
312,49451	75
312,99954	122
313,50461	148
314,00967	43
314,5148	129
315,01993	12
315,52509	13
316,03027	66
316,53546	175
317,04071	36
317,54596	-12
318,05124	-30
318,55655	32
319,06186	35
319,56723	-43
320,0726	100
320,578	146
321,08344	-35
321,58887	54
322,09433	28
322,59985	-22
323,10538	14
323,6109	47
324,11649	181
324,62207	15
325,12769	95
325,63333	58
326,13901	-76
326,64471	41
327,15042	39
327,65616	-190
328,16193	14
328,66772	51
329,17352	-34
329,67938	78
330,18524	-97
330,69113	40
331,19702	31
331,70297	-21
332,20892	-44
332,7149	60
333,22092	8
333,72696	-27
334,233	-26
334,73911	170
335,24521	80
335,75134	73
336,25748	20
336,76367	58
337,26987	-10
337,77609	-100
338,28235	74
338,78864	-6
339,29492	74
339,80127	12
340,30762	-76
340,814	89
341,32037	52
341,82681	25
342,33325	175
342,83972	-170
343,34622	24
343,85275	171
344,35928	-32
344,86584	52
345,37247	-23
345,87906	-66
346,38571	-37
346,89236	115
347,39908	83
347,90579	28
348,41254	34
348,91928	86
349,42609	-132
349,93289	-22
350,43973	172
350,94659	33
351,45349	120
351,96039	44
352,46732	161
352,97427	54
353,48126	-28
353,98828	64
354,4953	-59
355,00235	-19
355,50943	0
356,01654	-134
356,52368	-22
357,03082	115
357,53799	-38
358,0452	51
