Date and Time:                Wed Mar 19 12:50:06.983 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-137
285,25876	-33
285,76248	-74
286,26624	-41
286,77002	-36
287,2738	-116
287,77762	-163
288,28146	-25
288,78531	-21
289,28922	-319
289,79312	-34
290,29706	25
290,80103	-76
291,30502	-117
291,80902	-109
292,31308	-44
292,81714	13
293,32123	10
293,82532	-43
294,32947	146
294,83362	-110
295,3378	-63
295,84201	-24
296,34625	-284
296,85049	-65
297,35477	20
297,85907	-12
298,3634	-68
298,86777	-10
299,37213	-186
299,87656	-73
300,38098	-48
300,88541	20
301,38989	-90
301,89441	-133
302,39893	-74
302,90347	87
303,40805	57
303,91263	-48
304,41727	32
304,92191	-37
305,42657	-122
305,93127	-59
306,43597	-80
306,94073	-17
307,4455	-52
307,95029	4
308,45511	-61
308,95993	54
309,46481	-132
309,9697	40
310,47461	-209
310,97955	-197
311,4845	-140
311,9895	-132
312,49451	-96
312,99954	-76
313,50461	-8
314,00967	53
314,5148	-107
315,01993	-104
315,52509	23
316,03027	-147
316,53546	-116
317,04071	-161
317,54596	-99
318,05124	74
318,55655	-90
319,06186	-33
319,56723	-27
320,0726	-83
320,578	48
321,08344	37
321,58887	-25
322,09433	-9
322,59985	38
323,10538	-100
323,6109	43
324,11649	-119
324,62207	-1
325,12769	-122
325,63333	14
326,13901	-83
326,64471	6
327,15042	47
327,65616	12
328,16193	-127
328,66772	-22
329,17352	-17
329,67938	57
330,18524	35
330,69113	48
331,19702	-63
331,70297	-19
332,20892	108
332,7149	26
333,22092	-93
333,72696	11
334,233	30
334,73911	122
335,24521	-20
335,75134	22
336,25748	-44
336,76367	-136
337,26987	22
337,77609	44
338,28235	-78
338,78864	-125
339,29492	-9
339,80127	-97
340,30762	-150
340,814	-106
341,32037	0
341,82681	-163
342,33325	-94
342,83972	-56
343,34622	-59
343,85275	-104
344,35928	-53
344,86584	-23
345,37247	72
345,87906	-10
346,38571	-71
346,89236	26
347,39908	-156
347,90579	-50
348,41254	-72
348,91928	-17
349,42609	-141
349,93289	72
350,43973	-166
350,94659	52
351,45349	-166
351,96039	-44
352,46732	-75
352,97427	-3
353,48126	-28
353,98828	15
354,4953	-102
