Date and Time:                Wed Mar 19 13:05:31.596 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-91
285,25876	-31
285,76248	-20
286,26624	-6
286,77002	38
287,2738	-175
287,77762	-73
288,28146	11
288,78531	-61
289,28922	237
289,79312	-19
290,29706	-34
290,80103	-71
291,30502	-33
291,80902	-20
292,31308	-175
292,81714	-81
293,32123	-98
293,82532	-4
294,32947	-51
294,83362	3
295,3378	-126
295,84201	87
296,34625	-279
296,85049	-48
297,35477	-131
297,85907	11
298,3634	-253
298,86777	-205
299,37213	-1
299,87656	-39
300,38098	-60
300,88541	81
301,38989	-140
301,89441	-64
302,39893	-135
302,90347	-42
303,40805	2
303,91263	-43
304,41727	-120
304,92191	-85
305,42657	-3
305,93127	-121
306,43597	1
306,94073	-146
307,4455	-71
307,95029	-158
308,45511	-86
308,95993	-164
309,46481	77
309,9697	-47
310,47461	-183
310,97955	49
311,4845	31
311,9895	-86
312,49451	-158
312,99954	-23
313,50461	-80
314,00967	-148
314,5148	40
315,01993	50
315,52509	8
316,03027	7
316,53546	-185
317,04071	12
317,54596	-94
318,05124	42
318,55655	-164
319,06186	-127
319,56723	-6
320,0726	-57
320,578	-156
321,08344	-155
321,58887	-11
322,09433	-20
322,59985	-45
323,10538	-70
323,6109	-135
324,11649	-162
324,62207	-103
325,12769	-62
325,63333	-75
326,13901	-149
326,64471	-43
327,15042	-111
327,65616	84
328,16193	-17
328,66772	33
329,17352	-48
329,67938	-27
330,18524	-134
330,69113	-77
331,19702	-31
331,70297	54
332,20892	-101
332,7149	-150
333,22092	-107
333,72696	4
334,233	-59
334,73911	-82
335,24521	-108
335,75134	119
336,25748	-101
336,76367	-100
337,26987	-89
337,77609	-109
338,28235	-63
338,78864	-100
339,29492	-60
339,80127	-146
340,30762	-45
340,814	-104
341,32037	-42
341,82681	-53
342,33325	-213
342,83972	-151
343,34622	-25
343,85275	-161
344,35928	-57
344,86584	8
345,37247	-146
345,87906	-75
346,38571	175
346,89236	-27
347,39908	14
347,90579	-78
348,41254	-77
348,91928	-116
349,42609	-39
349,93289	-90
350,43973	-20
350,94659	-162
351,45349	-120
351,96039	-193
352,46732	-89
352,97427	-52
353,48126	-51
353,98828	-27
