Date and Time:                Wed Mar 19 10:00:05.004 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	130
285,25876	131
285,76248	87
286,26624	42
286,77002	187
287,2738	-66
287,77762	-54
288,28146	28
288,78531	-124
289,28922	35
289,79312	124
290,29706	20
290,80103	118
291,30502	-62
291,80902	153
292,31308	-29
292,81714	-12
293,32123	53
293,82532	-80
294,32947	130
294,83362	90
295,3378	54
295,84201	-86
296,34625	-467
296,85049	89
297,35477	135
297,85907	127
298,3634	-33
298,86777	29
299,37213	24
299,87656	124
300,38098	193
300,88541	94
301,38989	129
301,89441	57
302,39893	22
302,90347	20
303,40805	-22
303,91263	72
304,41727	18
304,92191	155
305,42657	60
305,93127	85
306,43597	41
306,94073	41
307,4455	-6
307,95029	31
308,45511	-17
308,95993	3
309,46481	17
309,9697	104
310,47461	62
310,97955	-85
311,4845	170
311,9895	82
312,49451	95
312,99954	63
313,50461	-58
314,00967	104
314,5148	204
315,01993	57
315,52509	-26
316,03027	118
316,53546	3
317,04071	73
317,54596	242
318,05124	114
318,55655	148
319,06186	28
319,56723	-19
320,0726	-71
320,578	-14
321,08344	-21
321,58887	5
322,09433	-12
322,59985	59
323,10538	-17
323,6109	-118
324,11649	-17
324,62207	48
325,12769	153
325,63333	14
326,13901	89
326,64471	-69
327,15042	-17
327,65616	79
328,16193	152
328,66772	35
329,17352	121
329,67938	35
330,18524	63
330,69113	-70
331,19702	-47
331,70297	164
332,20892	-63
332,7149	215
333,22092	102
333,72696	115
334,233	184
334,73911	51
335,24521	108
335,75134	-109
336,25748	62
336,76367	220
337,26987	-16
337,77609	18
338,28235	-14
338,78864	-16
339,29492	8
339,80127	61
340,30762	-21
340,814	-7
341,32037	4
341,82681	-3
342,33325	20
342,83972	58
343,34622	111
343,85275	65
344,35928	-56
344,86584	1
345,37247	-89
345,87906	79
346,38571	26
346,89236	207
347,39908	-41
347,90579	-44
348,41254	61
348,91928	69
349,42609	92
349,93289	59
350,43973	111
350,94659	6
351,45349	149
351,96039	-18
352,46732	153
352,97427	37
353,48126	25
353,98828	76
354,4953	25
355,00235	-1
355,50943	-146
356,01654	24
356,52368	70
357,03082	-78
357,53799	67
358,0452	51
358,55243	88
