Date and Time:                Fri Mar 21 10:34:36.524 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-73
285,25876	-41
285,76248	57
286,26624	44
286,77002	-9
287,2738	-134
287,77762	-25
288,28146	-137
288,78531	6
289,28922	-124
289,79312	-107
290,29706	31
290,80103	-38
291,30502	-143
291,80902	-62
292,31308	-74
292,81714	55
293,32123	-40
293,82532	-53
294,32947	24
294,83362	-26
295,3378	-41
295,84201	-6
296,34625	-61
296,85049	25
297,35477	-65
297,85907	75
298,3634	-94
298,86777	96
299,37213	-85
299,87656	47
300,38098	-45
300,88541	-63
301,38989	2
301,89441	27
302,39893	28
302,90347	28
303,40805	32
303,91263	37
304,41727	67
304,92191	-115
305,42657	1
305,93127	-140
306,43597	10
306,94073	10
307,4455	110
307,95029	-4
308,45511	15
308,95993	-64
309,46481	-68
309,9697	66
310,47461	-41
310,97955	-89
311,4845	137
311,9895	-44
312,49451	65
312,99954	-30
313,50461	90
314,00967	-217
314,5148	-57
315,01993	-10
315,52509	68
316,03027	-127
316,53546	31
317,04071	-99
317,54596	-27
318,05124	-96
318,55655	133
319,06186	23
319,56723	-66
320,0726	-133
320,578	88
321,08344	-108
321,58887	-90
322,09433	-51
322,59985	-82
323,10538	8
323,6109	-40
324,11649	-35
324,62207	32
325,12769	4
325,63333	-17
326,13901	-22
326,64471	-78
327,15042	53
327,65616	29
328,16193	-112
328,66772	-58
329,17352	-132
329,67938	61
330,18524	-146
330,69113	-36
331,19702	-15
331,70297	-80
332,20892	-19
332,7149	-69
333,22092	-45
333,72696	68
334,233	-36
334,73911	34
335,24521	-47
335,75134	-43
336,25748	-18
336,76367	-55
337,26987	-10
337,77609	-69
338,28235	41
338,78864	62
339,29492	-40
339,80127	-170
340,30762	18
340,814	-49
341,32037	-118
341,82681	-59
342,33325	16
342,83972	-71
343,34622	-175
343,85275	119
344,35928	55
344,86584	-6
345,37247	34
345,87906	-95
346,38571	76
346,89236	74
347,39908	-44
347,90579	-72
348,41254	-123
348,91928	39
349,42609	-28
349,93289	-67
350,43973	-62
350,94659	-18
351,45349	-16
351,96039	-7
352,46732	-26
352,97427	-9
353,48126	16
353,98828	-23
354,4953	-7
355,00235	-76
355,50943	-51
