Date and Time:                Fri Mar 21 12:21:07.842 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	106
285,25876	158
285,76248	186
286,26624	47
286,77002	188
287,2738	236
287,77762	187
288,28146	61
288,78531	189
289,28922	124
289,79312	34
290,29706	114
290,80103	136
291,30502	242
291,80902	30
292,31308	173
292,81714	116
293,32123	128
293,82532	106
294,32947	105
294,83362	166
295,3378	-4
295,84201	247
296,34625	-243
296,85049	104
297,35477	56
297,85907	45
298,3634	112
298,86777	254
299,37213	74
299,87656	58
300,38098	72
300,88541	154
301,38989	102
301,89441	119
302,39893	147
302,90347	126
303,40805	13
303,91263	73
304,41727	-6
304,92191	50
305,42657	154
305,93127	49
306,43597	227
306,94073	119
307,4455	88
307,95029	20
308,45511	154
308,95993	83
309,46481	189
309,9697	116
310,47461	63
310,97955	216
311,4845	137
311,9895	151
312,49451	96
312,99954	72
313,50461	191
314,00967	207
314,5148	402
315,01993	14
315,52509	250
316,03027	276
316,53546	144
317,04071	48
317,54596	133
318,05124	139
318,55655	77
319,06186	210
319,56723	200
320,0726	82
320,578	73
321,08344	144
321,58887	176
322,09433	44
322,59985	180
323,10538	72
323,6109	48
324,11649	135
324,62207	-15
325,12769	33
325,63333	124
326,13901	46
326,64471	82
327,15042	157
327,65616	8
328,16193	114
328,66772	110
329,17352	197
329,67938	57
330,18524	201
330,69113	223
331,19702	108
331,70297	121
332,20892	200
332,7149	152
333,22092	167
333,72696	22
334,233	166
334,73911	162
335,24521	1
335,75134	217
336,25748	137
336,76367	195
337,26987	105
337,77609	165
338,28235	158
338,78864	318
339,29492	198
339,80127	190
340,30762	187
340,814	172
341,32037	-99
341,82681	-3
342,33325	-40
342,83972	164
343,34622	170
343,85275	88
344,35928	146
344,86584	88
345,37247	337
345,87906	100
346,38571	31
346,89236	249
347,39908	228
347,90579	139
348,41254	138
348,91928	72
349,42609	211
349,93289	76
350,43973	92
350,94659	31
351,45349	145
351,96039	135
352,46732	151
352,97427	-48
353,48126	217
353,98828	122
354,4953	172
355,00235	6
355,50943	120
356,01654	92
356,52368	154
357,03082	114
357,53799	177
358,0452	242
358,55243	226
359,05969	20
359,56696	24
360,07428	37
360,5816	213
361,08893	61
