Date and Time:                Fri Mar 21 14:11:33.414 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              500



284,75507	-11
285,25876	153
285,76248	90
286,26624	-144
286,77002	-68
287,2738	-239
287,77762	-58
288,28146	-64
288,78531	-159
289,28922	-131
289,79312	-210
290,29706	-119
290,80103	-158
291,30502	-207
291,80902	-3
292,31308	-101
292,81714	-73
293,32123	-195
293,82532	-90
294,32947	-27
294,83362	-5
295,3378	-172
295,84201	-215
296,34625	-97
296,85049	-239
297,35477	8
297,85907	-126
298,3634	-20
298,86777	-38
299,37213	7
299,87656	-74
300,38098	-115
300,88541	-83
301,38989	-130
301,89441	-51
302,39893	-65
302,90347	-30
303,40805	-157
303,91263	-65
304,41727	-24
304,92191	-6
305,42657	-123
305,93127	-207
306,43597	-76
306,94073	-145
307,4455	-146
307,95029	-212
308,45511	-68
308,95993	-206
309,46481	-6
309,9697	-52
310,47461	134
310,97955	101
311,4845	-195
311,9895	-191
312,49451	-7
312,99954	66
313,50461	-73
314,00967	-115
314,5148	-171
315,01993	-146
315,52509	-149
316,03027	-106
316,53546	-173
317,04071	-93
317,54596	-163
318,05124	30
318,55655	-105
319,06186	-146
319,56723	-47
320,0726	27
320,578	-187
321,08344	-38
321,58887	-259
322,09433	-115
322,59985	10
323,10538	-57
323,6109	-223
324,11649	-37
324,62207	-91
325,12769	-91
325,63333	-59
326,13901	77
326,64471	63
327,15042	-75
327,65616	-126
328,16193	12
328,66772	-225
329,17352	-221
329,67938	-73
330,18524	-212
330,69113	-151
331,19702	-33
331,70297	-82
332,20892	-97
332,7149	-183
333,22092	-200
333,72696	21
334,233	2
334,73911	-108
335,24521	-118
335,75134	-79
336,25748	-174
336,76367	-37
337,26987	-86
337,77609	16
338,28235	-148
338,78864	-124
339,29492	100
339,80127	103
340,30762	-192
340,814	-100
341,32037	-164
341,82681	-18
342,33325	-35
342,83972	-140
343,34622	-126
343,85275	-141
344,35928	-148
344,86584	-88
345,37247	-20
345,87906	-69
346,38571	17
346,89236	6
347,39908	-73
347,90579	18
348,41254	37
348,91928	-153
349,42609	-14
349,93289	-26
350,43973	-172
350,94659	-234
351,45349	-42
351,96039	1
352,46732	-39
352,97427	-2
353,48126	-90
353,98828	-189
354,4953	-31
355,00235	-23
355,50943	-70
356,01654	-100
356,52368	-105
