Date and Time:                Mon Mar 24 11:32:21.133 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              500



284,75507	-47
285,25876	-28
285,76248	48
286,26624	-58
286,77002	-95
287,2738	21
287,77762	56
288,28146	25
288,78531	-56
289,28922	-75
289,79312	-127
290,29706	25
290,80103	-192
291,30502	-36
291,80902	-41
292,31308	9
292,81714	34
293,32123	-7
293,82532	11
294,32947	74
294,83362	14
295,3378	126
295,84201	-45
296,34625	-336
296,85049	56
297,35477	-57
297,85907	-217
298,3634	-161
298,86777	115
299,37213	33
299,87656	28
300,38098	117
300,88541	-39
301,38989	193
301,89441	-39
302,39893	-29
302,90347	-21
303,40805	57
303,91263	-121
304,41727	21
304,92191	-8
305,42657	-37
305,93127	30
306,43597	71
306,94073	-47
307,4455	21
307,95029	-150
308,45511	-78
308,95993	-16
309,46481	147
309,9697	-78
310,47461	-21
310,97955	11
311,4845	-71
311,9895	70
312,49451	-12
312,99954	112
313,50461	118
314,00967	50
314,5148	-76
315,01993	57
315,52509	-23
316,03027	135
316,53546	-13
317,04071	-44
317,54596	-146
318,05124	-26
318,55655	-9
319,06186	-99
319,56723	4
320,0726	-84
320,578	28
321,08344	-100
321,58887	23
322,09433	-93
322,59985	-22
323,10538	-52
323,6109	-1
324,11649	-77
324,62207	100
325,12769	-41
325,63333	111
326,13901	49
326,64471	56
327,15042	122
327,65616	-57
328,16193	26
328,66772	110
329,17352	-77
329,67938	-66
330,18524	108
330,69113	38
331,19702	-9
331,70297	-23
332,20892	77
332,7149	15
333,22092	98
333,72696	-174
334,233	-16
334,73911	-97
335,24521	-87
335,75134	69
336,25748	60
336,76367	55
337,26987	149
337,77609	-58
338,28235	-9
338,78864	-46
339,29492	45
339,80127	-22
340,30762	139
340,814	-12
341,32037	-64
341,82681	-3
342,33325	-52
342,83972	46
343,34622	2
343,85275	-72
344,35928	-9
344,86584	58
345,37247	112
345,87906	-22
346,38571	-22
346,89236	-117
347,39908	13
347,90579	-54
348,41254	-128
348,91928	12
349,42609	12
349,93289	-52
350,43973	-83
350,94659	-54
351,45349	-108
351,96039	-32
352,46732	48
352,97427	-129
353,48126	15
353,98828	-137
354,4953	-61
355,00235	-136
355,50943	79
356,01654	-12
356,52368	-22
357,03082	-39
357,53799	-19
358,0452	-79
358,55243	9
359,05969	-95
