Date and Time:                Mon Mar 24 12:59:07.152 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              500



284,75507	101
285,25876	-135
285,76248	32
286,26624	109
286,77002	-99
287,2738	35
287,77762	59
288,28146	44
288,78531	-16
289,28922	-610
289,79312	65
290,29706	13
290,80103	17
291,30502	80
291,80902	-55
292,31308	4
292,81714	-5
293,32123	126
293,82532	115
294,32947	168
294,83362	64
295,3378	126
295,84201	149
296,34625	14
296,85049	17
297,35477	-87
297,85907	-26
298,3634	65
298,86777	110
299,37213	-35
299,87656	160
300,38098	84
300,88541	83
301,38989	-61
301,89441	116
302,39893	-21
302,90347	-44
303,40805	146
303,91263	18
304,41727	48
304,92191	87
305,42657	-16
305,93127	171
306,43597	-114
306,94073	22
307,4455	-85
307,95029	134
308,45511	60
308,95993	116
309,46481	-41
309,9697	39
310,47461	-48
310,97955	-32
311,4845	15
311,9895	57
312,49451	176
312,99954	-15
313,50461	143
314,00967	64
314,5148	141
315,01993	12
315,52509	30
316,03027	118
316,53546	53
317,04071	-6
317,54596	117
318,05124	113
318,55655	-29
319,06186	15
319,56723	85
320,0726	-10
320,578	138
321,08344	-82
321,58887	179
322,09433	-113
322,59985	34
323,10538	14
323,6109	-116
324,11649	80
324,62207	154
325,12769	72
325,63333	-21
326,13901	120
326,64471	-97
327,15042	110
327,65616	106
328,16193	131
328,66772	-1
329,17352	-25
329,67938	68
330,18524	-54
330,69113	-72
331,19702	8
331,70297	-61
332,20892	160
332,7149	126
333,22092	106
333,72696	-8
334,233	-133
334,73911	43
335,24521	86
335,75134	-20
336,25748	5
336,76367	-34
337,26987	-31
337,77609	195
338,28235	-74
338,78864	-22
339,29492	153
339,80127	9
340,30762	-64
340,814	46
341,32037	73
341,82681	12
342,33325	10
342,83972	22
343,34622	-17
343,85275	21
344,35928	51
344,86584	50
345,37247	12
345,87906	76
346,38571	123
346,89236	63
347,39908	30
347,90579	69
348,41254	-50
348,91928	93
349,42609	42
349,93289	7
350,43973	78
350,94659	105
351,45349	-26
351,96039	-107
352,46732	28
352,97427	181
353,48126	7
353,98828	-128
354,4953	-61
355,00235	-49
355,50943	-128
356,01654	1
356,52368	-62
357,03082	84
357,53799	14
358,0452	81
358,55243	-21
359,05969	5
359,56696	22
360,07428	-110
360,5816	-21
361,08893	127
361,59631	55
