Date and Time:                Tue Mar 25 11:33:32.496 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	2
262,66187	109
263,2012	-52
263,74057	-1
264,27988	3
264,81918	-77
265,35846	-14
265,89774	-117
266,43698	-99
266,97623	-6
267,51544	2
268,05463	-25
268,59378	-23
269,13293	17
269,67209	-116
270,21118	-10
270,75031	-88
271,28937	-13
271,82843	-75
272,36746	-2
272,90649	110
273,4455	46
273,98447	54
274,52344	18
275,06238	-5
275,60132	110
276,14023	-2
276,67911	-40
277,21799	-43
277,75684	-19
278,29565	28
278,83447	-19
279,37326	64
279,91205	-16
280,45081	63
280,98953	143
281,52826	1
282,06696	37
282,60565	-45
283,14429	-12
283,68295	-19
284,22156	9
284,76016	63
285,29877	21
285,83731	54
286,37589	49
286,9144	-19
287,45291	-36
287,99139	14
288,52988	-8
289,06833	124
289,60678	-53
290,14517	76
290,68359	-81
291,22195	23
291,76031	9
292,29865	-76
292,83698	-52
293,37527	105
293,91357	10
294,45184	152
294,99008	294
295,52832	108
296,06653	-58
296,60471	30
297,14288	28
297,68103	11
298,21915	41
298,75726	14
299,29538	18
299,83344	2
300,37149	-114
300,90955	227
301,44754	-32
301,98557	-80
302,52353	-92
303,06149	70
303,59946	110
304,13736	94
304,67526	131
305,21317	64
305,75104	9
306,28888	-76
306,82672	-60
307,36453	-57
307,90231	159
308,44009	-39
308,97784	28
309,51556	75
310,05328	105
310,591	-88
311,12866	-111
311,66632	-34
312,20398	-46
312,74158	69
313,27921	173
313,81677	121
314,35434	35
314,89188	114
315,42941	-58
315,96692	88
316,50443	42
317,0419	84
317,57935	71
318,11676	-7
318,65417	20
319,19159	6
319,72894	-81
320,26633	-46
320,80365	136
321,34097	-76
321,87827	-30
322,41556	17
322,95282	127
323,49005	135
324,02728	49
324,56448	26
325,10168	85
325,63885	-34
326,17599	-95
326,71313	-7
327,25024	38
327,78732	82
