Date and Time:                Tue Mar 25 12:46:06.156 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-42
262,66187	-55
263,2012	-31
263,74057	-101
264,27988	29
264,81918	-177
265,35846	104
265,89774	-170
266,43698	-142
266,97623	147
267,51544	196
268,05463	150
268,59378	-41
269,13293	103
269,67209	-12
270,21118	-67
270,75031	9
271,28937	96
271,82843	-56
272,36746	-62
272,90649	6
273,4455	-82
273,98447	-176
274,52344	-11
275,06238	-66
275,60132	-27
276,14023	-93
276,67911	75
277,21799	-72
277,75684	-55
278,29565	-121
278,83447	37
279,37326	-104
279,91205	112
280,45081	-41
280,98953	-118
281,52826	-78
282,06696	-92
282,60565	-92
283,14429	32
283,68295	17
284,22156	53
284,76016	-50
285,29877	-30
285,83731	73
286,37589	2
286,9144	20
287,45291	49
287,99139	31
288,52988	83
289,06833	-168
289,60678	-45
290,14517	-9
290,68359	-142
291,22195	-77
291,76031	-111
292,29865	-44
292,83698	-4
293,37527	-20
293,91357	-189
294,45184	-43
294,99008	-182
295,52832	-71
296,06653	58
296,60471	48
297,14288	97
297,68103	74
298,21915	-88
298,75726	-113
299,29538	143
299,83344	-80
300,37149	-14
300,90955	56
301,44754	90
301,98557	46
302,52353	-107
303,06149	-16
303,59946	-87
304,13736	33
304,67526	-67
305,21317	-64
305,75104	33
306,28888	75
306,82672	-231
307,36453	-11
307,90231	-178
308,44009	-24
308,97784	-21
309,51556	-34
310,05328	-40
310,591	-64
311,12866	69
311,66632	-21
312,20398	-152
312,74158	40
313,27921	-123
313,81677	-92
314,35434	-19
314,89188	15
315,42941	38
315,96692	-8
316,50443	-16
317,0419	17
317,57935	-67
318,11676	21
318,65417	-38
319,19159	-55
319,72894	37
320,26633	23
320,80365	-31
321,34097	-66
321,87827	-45
322,41556	-24
322,95282	-27
323,49005	-18
324,02728	-5
324,56448	-119
325,10168	43
325,63885	-156
326,17599	-57
326,71313	21
327,25024	-53
327,78732	100
328,3244	10
328,86145	-51
329,3985	0
329,93552	-21
330,4725	-9
331,00949	-76
331,54645	-87
332,0834	-18
332,62033	68
333,15723	105
333,69409	4
334,23099	30
334,76782	-50
335,30466	-42
335,84146	-41
336,37823	181
336,91501	-24
