Date and Time:                Tue Mar 25 09:33:13.720 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              0
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



1	-166
2	-140
3	-127
4	-306
5	-129
6	-163
7	-109
8	-285
9	-186
10	-113
11	-173
12	-93
13	-44
14	-141
15	-329
16	-100
17	-111
18	-311
19	-254
20	3
21	67
22	-68
23	-130
24	-267
25	-246
26	-44
27	-230
28	-72
29	-73
30	-153
31	-166
32	-144
33	-174
34	-69
35	-96
36	-127
37	-89
38	-1
39	-196
40	-96
41	-99
42	-190
43	-84
44	-144
45	-142
46	-48
47	-52
48	-163
49	-150
50	-53
51	-173
52	-163
53	47
54	-191
55	12
56	-146
57	8
58	-176
59	-148
60	-123
61	-158
62	-112
63	-277
64	-108
65	-199
66	-179
67	-86
68	-132
69	-201
70	-215
71	-131
72	34
73	-116
74	-104
75	-255
76	-101
77	-155
78	-154
79	-14
80	-118
81	-81
82	-259
83	-186
84	-117
85	-129
86	-56
87	31
88	-121
89	-267
90	-106
91	39
92	-50
93	-209
94	-33
95	-40
96	-103
97	-83
98	0
99	-121
100	-185
101	-136
102	-123
103	-192
104	-44
105	-6
106	-62
107	-99
108	-147
109	-171
110	-166
111	-53
112	-143
113	-156
114	-31
115	-213
116	-121
117	-146
118	-223
119	-126
120	-222
121	-8
122	-73
123	-129
124	-45
125	-47
126	-152
127	-78
128	-101
129	-266
130	-48
131	-47
132	69
133	-185
134	-124
135	-138
136	-115
137	-81
138	-100
139	-136
140	-110
141	-40
142	-226
143	-147
144	-199
145	-196
146	-65
147	-93
148	-78
149	-142
150	-93
151	-168
152	-86
153	-96
154	-105
155	-68
156	-50
157	-215
158	-114
159	-170
160	-58
161	-197
162	-160
163	-55
164	-170
165	-89
166	-273
167	-60
168	30
169	-81
170	-54
171	11
172	-44
173	-91
174	-140
175	-101
176	-123
177	-68
178	-31
179	-205
180	-131
181	-6
182	-156
183	-227
184	-53
185	-228
186	-243
187	-53
188	-78
189	-111
190	-27
191	-30
192	-102
193	-51
194	-129
195	-149
196	-266
197	-71
198	-46
199	-226
200	-170
201	-26
202	-180
203	-34
204	-76
205	-100
206	117
207	-202
208	-171
209	-25
210	-99
211	70
212	-254
213	-195
214	-151
215	-213
216	-113
217	-96
218	-95
