Date and Time:                Wed Mar 26 08:17:19.565 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	69
262,66187	113
263,2012	-7
263,74057	-105
264,27988	156
264,81918	-20
265,35846	52
265,89774	71
266,43698	1
266,97623	3
267,51544	26
268,05463	-65
268,59378	-3
269,13293	-84
269,67209	18
270,21118	23
270,75031	13
271,28937	35
271,82843	100
272,36746	32
272,90649	12
273,4455	50
273,98447	-12
274,52344	80
275,06238	17
275,60132	46
276,14023	2
276,67911	95
277,21799	35
277,75684	-31
278,29565	39
278,83447	-23
279,37326	-144
279,91205	106
280,45081	-83
280,98953	45
281,52826	-94
282,06696	-17
282,60565	17
283,14429	4
283,68295	12
284,22156	211
284,76016	74
285,29877	-27
285,83731	84
286,37589	52
286,9144	-55
287,45291	21
287,99139	87
288,52988	-37
289,06833	48
289,60678	-31
290,14517	20
290,68359	-46
291,22195	-75
291,76031	23
292,29865	-14
292,83698	266
293,37527	69
293,91357	97
294,45184	-1
294,99008	1
295,52832	-25
296,06653	42
296,60471	18
297,14288	69
297,68103	-26
298,21915	91
298,75726	-110
299,29538	-1
299,83344	79
300,37149	-46
300,90955	123
301,44754	72
301,98557	95
302,52353	-33
303,06149	12
303,59946	2
304,13736	80
304,67526	129
305,21317	185
305,75104	41
306,28888	230
306,82672	-63
307,36453	102
307,90231	-33
308,44009	-30
308,97784	13
309,51556	106
310,05328	100
310,591	-67
311,12866	-8
311,66632	89
312,20398	93
312,74158	11
313,27921	-34
313,81677	-16
314,35434	-63
314,89188	45
315,42941	-26
315,96692	-40
316,50443	-74
317,0419	130
317,57935	-8
318,11676	27
318,65417	14
319,19159	140
319,72894	170
320,26633	141
320,80365	131
321,34097	-96
321,87827	16
322,41556	-29
322,95282	-13
323,49005	71
324,02728	62
324,56448	-9
325,10168	102
325,63885	-84
326,17599	28
326,71313	-5
327,25024	64
327,78732	-64
328,3244	2
328,86145	46
329,3985	63
329,93552	155
330,4725	46
331,00949	49
331,54645	32
332,0834	8
332,62033	85
333,15723	40
333,69409	172
334,23099	-26
334,76782	-52
335,30466	191
335,84146	-105
336,37823	-1
336,91501	40
337,45178	-119
337,98849	70
338,52521	-20
339,06192	-14
339,5986	-41
340,13525	9
