Date and Time:                Wed Mar 26 14:40:19.685 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-108
262,66187	-172
263,2012	-65
263,74057	-4
264,27988	-94
264,81918	-86
265,35846	-132
265,89774	-22
266,43698	-24
266,97623	-786
267,51544	-116
268,05463	-126
268,59378	-145
269,13293	9
269,67209	-47
270,21118	26
270,75031	-20
271,28937	-88
271,82843	-227
272,36746	41
272,90649	-47
273,4455	-127
273,98447	-57
274,52344	-401
275,06238	-103
275,60132	-66
276,14023	-39
276,67911	19
277,21799	-114
277,75684	-88
278,29565	-61
278,83447	-95
279,37326	-24
279,91205	-141
280,45081	-47
280,98953	-163
281,52826	-56
282,06696	-2
282,60565	-63
283,14429	-43
283,68295	74
284,22156	20
284,76016	-118
285,29877	-63
285,83731	97
286,37589	10
286,9144	-55
287,45291	-115
287,99139	-19
288,52988	-77
289,06833	-64
289,60678	57
290,14517	-40
290,68359	-6
291,22195	-90
291,76031	48
292,29865	-112
292,83698	-42
293,37527	-59
293,91357	49
294,45184	-237
294,99008	-85
295,52832	-92
296,06653	-11
296,60471	37
297,14288	-19
297,68103	23
298,21915	-26
298,75726	-142
299,29538	-72
299,83344	44
300,37149	-117
300,90955	-124
301,44754	-38
301,98557	4
302,52353	-124
303,06149	-70
303,59946	-86
304,13736	-68
304,67526	-83
305,21317	30
305,75104	-49
306,28888	-191
306,82672	49
307,36453	-87
307,90231	-78
308,44009	-75
308,97784	37
309,51556	-14
310,05328	-121
310,591	57
311,12866	57
311,66632	-60
312,20398	25
312,74158	-41
313,27921	34
313,81677	62
314,35434	-38
314,89188	-43
315,42941	-22
315,96692	47
316,50443	3
317,0419	-120
317,57935	-50
318,11676	78
318,65417	56
319,19159	-204
319,72894	-151
320,26633	-79
320,80365	-23
321,34097	51
321,87827	-32
322,41556	-105
322,95282	-46
323,49005	-97
324,02728	-52
324,56448	48
325,10168	-30
