Date and Time:                Wed Mar 26 15:29:34.580 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-35
262,66187	-17
263,2012	-91
263,74057	4
264,27988	33
264,81918	-58
265,35846	-159
265,89774	55
266,43698	-144
266,97623	-192
267,51544	123
268,05463	-86
268,59378	-140
269,13293	57
269,67209	-202
270,21118	-29
270,75031	-157
271,28937	-42
271,82843	-127
272,36746	-80
272,90649	-108
273,4455	-49
273,98447	-75
274,52344	133
275,06238	-114
275,60132	46
276,14023	90
276,67911	-63
277,21799	-21
277,75684	-34
278,29565	-50
278,83447	31
279,37326	-164
279,91205	-10
280,45081	69
280,98953	49
281,52826	-42
282,06696	23
282,60565	-112
283,14429	-59
283,68295	-123
284,22156	-39
284,76016	-224
285,29877	-26
285,83731	50
286,37589	-104
286,9144	23
287,45291	-108
287,99139	3
288,52988	-59
289,06833	-147
289,60678	10
290,14517	19
290,68359	72
291,22195	-45
291,76031	-16
292,29865	-149
292,83698	-38
293,37527	-44
293,91357	-19
294,45184	-105
294,99008	-65
295,52832	-128
296,06653	-155
296,60471	-203
297,14288	25
297,68103	-87
298,21915	-45
298,75726	6
299,29538	-16
299,83344	-129
300,37149	-2
300,90955	-11
301,44754	-21
301,98557	-105
302,52353	-106
303,06149	-143
303,59946	60
304,13736	66
304,67526	71
305,21317	13
305,75104	26
306,28888	-88
306,82672	97
307,36453	-82
307,90231	7
308,44009	-115
308,97784	-74
309,51556	-69
310,05328	-101
310,591	5
311,12866	-134
311,66632	14
312,20398	-131
312,74158	-92
313,27921	-86
313,81677	-144
314,35434	33
314,89188	-131
315,42941	-163
315,96692	21
316,50443	10
317,0419	-190
317,57935	-6
318,11676	5
318,65417	-27
319,19159	-32
319,72894	-88
320,26633	-70
320,80365	-132
321,34097	-1
321,87827	-55
322,41556	-35
322,95282	-184
323,49005	-73
324,02728	47
324,56448	-78
325,10168	-65
325,63885	-99
326,17599	-101
326,71313	27
327,25024	147
327,78732	37
328,3244	-140
328,86145	54
329,3985	-82
329,93552	-29
330,4725	-55
331,00949	-41
331,54645	-17
332,0834	62
332,62033	-63
333,15723	-23
333,69409	-131
334,23099	3
334,76782	-10
335,30466	-125
335,84146	-9
336,37823	61
