Date and Time:                Wed Mar 26 09:42:32.881 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-151
262,66187	-86
263,2012	-252
263,74057	-12
264,27988	24
264,81918	-7
265,35846	-5
265,89774	-83
266,43698	-138
266,97623	179
267,51544	-44
268,05463	-116
268,59378	-66
269,13293	-58
269,67209	15
270,21118	-94
270,75031	-107
271,28937	-121
271,82843	-111
272,36746	-121
272,90649	-120
273,4455	-136
273,98447	-54
274,52344	-61
275,06238	-136
275,60132	32
276,14023	-87
276,67911	-19
277,21799	5
277,75684	-6
278,29565	28
278,83447	-91
279,37326	-102
279,91205	-56
280,45081	-49
280,98953	17
281,52826	-70
282,06696	-219
282,60565	-180
283,14429	40
283,68295	-132
284,22156	-115
284,76016	-68
285,29877	-20
285,83731	35
286,37589	-85
286,9144	-100
287,45291	-79
287,99139	-216
288,52988	-131
289,06833	-2
289,60678	64
290,14517	-48
290,68359	-73
291,22195	-54
291,76031	7
292,29865	-82
292,83698	-130
293,37527	-69
293,91357	-102
294,45184	-176
294,99008	-144
295,52832	-67
296,06653	-189
296,60471	94
297,14288	-92
297,68103	12
298,21915	-228
298,75726	-86
299,29538	-179
299,83344	-51
300,37149	-38
300,90955	-51
301,44754	-170
301,98557	-128
302,52353	-11
303,06149	-94
303,59946	27
304,13736	29
304,67526	-38
305,21317	51
305,75104	-180
306,28888	45
306,82672	-46
307,36453	-65
307,90231	-24
308,44009	50
308,97784	-78
309,51556	85
310,05328	-95
310,591	12
311,12866	-208
311,66632	-65
312,20398	-32
312,74158	37
313,27921	8
313,81677	44
314,35434	-75
314,89188	-16
315,42941	-16
315,96692	-31
316,50443	-73
317,0419	-50
317,57935	156
318,11676	9
318,65417	-62
319,19159	-69
319,72894	-135
320,26633	-116
320,80365	-80
321,34097	-47
321,87827	-47
322,41556	-79
322,95282	-72
323,49005	-106
324,02728	-69
324,56448	-36
325,10168	-149
325,63885	-43
326,17599	-83
326,71313	-46
327,25024	-131
327,78732	11
328,3244	-19
328,86145	-101
329,3985	-39
329,93552	-141
330,4725	-35
331,00949	-70
331,54645	67
332,0834	143
332,62033	81
333,15723	-135
333,69409	-44
334,23099	-42
334,76782	-156
335,30466	-150
335,84146	-30
