Date and Time:                Wed Mar 26 15:27:29.562 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-108
262,66187	-47
263,2012	58
263,74057	-66
264,27988	-60
264,81918	1
265,35846	16
265,89774	-20
266,43698	-76
266,97623	-843
267,51544	-67
268,05463	-108
268,59378	-104
269,13293	-76
269,67209	-32
270,21118	-131
270,75031	-79
271,28937	-79
271,82843	-83
272,36746	-90
272,90649	-139
273,4455	-107
273,98447	-37
274,52344	267
275,06238	6
275,60132	-83
276,14023	-18
276,67911	28
277,21799	-77
277,75684	-55
278,29565	-154
278,83447	-73
279,37326	-141
279,91205	-53
280,45081	-107
280,98953	-26
281,52826	-96
282,06696	-18
282,60565	-136
283,14429	-97
283,68295	-63
284,22156	-33
284,76016	-105
285,29877	-28
285,83731	-47
286,37589	-64
286,9144	-89
287,45291	-95
287,99139	-181
288,52988	-60
289,06833	74
289,60678	-30
290,14517	-118
290,68359	-17
291,22195	-49
291,76031	-125
292,29865	-58
292,83698	-110
293,37527	-57
293,91357	-27
294,45184	-95
294,99008	-11
295,52832	-123
296,06653	12
296,60471	-111
297,14288	-33
297,68103	-133
298,21915	-147
298,75726	-70
299,29538	56
299,83344	-38
300,37149	-108
300,90955	-27
301,44754	-138
301,98557	-133
302,52353	-168
303,06149	45
303,59946	-18
304,13736	-82
304,67526	-40
305,21317	-51
305,75104	-79
306,28888	-30
306,82672	-100
307,36453	-206
307,90231	-128
308,44009	-28
308,97784	-9
309,51556	-44
310,05328	-87
310,591	-43
311,12866	-181
311,66632	-97
312,20398	-9
312,74158	12
313,27921	-63
313,81677	8
314,35434	-50
314,89188	-25
315,42941	-239
315,96692	-30
316,50443	-93
317,0419	-22
317,57935	-85
318,11676	-94
318,65417	-86
319,19159	-67
319,72894	-33
320,26633	-111
320,80365	-88
321,34097	-74
321,87827	-40
322,41556	37
322,95282	-43
323,49005	-159
324,02728	-91
324,56448	-59
325,10168	-123
325,63885	-40
326,17599	16
326,71313	34
327,25024	-9
327,78732	-64
328,3244	-16
328,86145	-17
329,3985	-71
329,93552	-7
330,4725	-173
331,00949	-247
331,54645	-143
332,0834	-71
332,62033	-25
333,15723	-2
333,69409	-140
334,23099	-81
334,76782	-80
