Date and Time:                Wed Mar 26 11:46:58.151 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	117
262,66187	7
263,2012	62
263,74057	126
264,27988	40
264,81918	18
265,35846	72
265,89774	158
266,43698	-54
266,97623	724
267,51544	-1
268,05463	-38
268,59378	13
269,13293	-142
269,67209	17
270,21118	89
270,75031	-121
271,28937	129
271,82843	99
272,36746	56
272,90649	115
273,4455	179
273,98447	-4
274,52344	73
275,06238	0
275,60132	134
276,14023	17
276,67911	-15
277,21799	55
277,75684	-22
278,29565	258
278,83447	23
279,37326	38
279,91205	161
280,45081	46
280,98953	67
281,52826	-80
282,06696	124
282,60565	-56
283,14429	59
283,68295	9
284,22156	118
284,76016	35
285,29877	41
285,83731	47
286,37589	-83
286,9144	0
287,45291	64
287,99139	-71
288,52988	75
289,06833	89
289,60678	18
290,14517	70
290,68359	-76
291,22195	6
291,76031	-79
292,29865	-82
292,83698	-34
293,37527	-140
293,91357	8
294,45184	112
294,99008	-22
295,52832	89
296,06653	14
296,60471	-63
297,14288	68
297,68103	-52
298,21915	71
298,75726	50
299,29538	-8
299,83344	-74
300,37149	-11
300,90955	45
301,44754	60
301,98557	82
302,52353	-38
303,06149	-55
303,59946	20
304,13736	-15
304,67526	136
305,21317	8
305,75104	-65
306,28888	-18
306,82672	-61
307,36453	-12
307,90231	3
308,44009	165
308,97784	58
309,51556	-63
310,05328	-6
310,591	67
311,12866	107
311,66632	-55
312,20398	-4
312,74158	112
313,27921	147
313,81677	-63
314,35434	89
314,89188	-64
315,42941	265
315,96692	58
316,50443	67
317,0419	140
317,57935	-46
318,11676	-73
318,65417	-9
319,19159	-28
319,72894	126
320,26633	-24
320,80365	235
321,34097	-57
321,87827	63
322,41556	-57
322,95282	-120
323,49005	17
324,02728	155
324,56448	8
325,10168	-135
325,63885	12
326,17599	7
326,71313	89
327,25024	20
327,78732	139
328,3244	48
328,86145	83
329,3985	29
329,93552	-1
330,4725	42
331,00949	30
331,54645	119
332,0834	-19
332,62033	74
333,15723	52
333,69409	-16
334,23099	-7
334,76782	29
335,30466	117
335,84146	-20
336,37823	1
336,91501	0
337,45178	105
337,98849	143
338,52521	94
339,06192	9
339,5986	238
340,13525	23
