Date and Time:                Wed Mar 26 13:10:26.303 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	56
262,66187	123
263,2012	38
263,74057	24
264,27988	86
264,81918	-71
265,35846	109
265,89774	42
266,43698	7
266,97623	-57
267,51544	162
268,05463	-32
268,59378	111
269,13293	125
269,67209	123
270,21118	-41
270,75031	168
271,28937	30
271,82843	-44
272,36746	-142
272,90649	89
273,4455	109
273,98447	21
274,52344	214
275,06238	122
275,60132	90
276,14023	16
276,67911	67
277,21799	222
277,75684	201
278,29565	113
278,83447	78
279,37326	-44
279,91205	124
280,45081	44
280,98953	191
281,52826	-42
282,06696	92
282,60565	83
283,14429	36
283,68295	93
284,22156	31
284,76016	-55
285,29877	-66
285,83731	41
286,37589	-52
286,9144	122
287,45291	41
287,99139	184
288,52988	141
289,06833	-86
289,60678	139
290,14517	62
290,68359	-26
291,22195	125
291,76031	116
292,29865	-3
292,83698	190
293,37527	148
293,91357	177
294,45184	14
294,99008	-87
295,52832	82
296,06653	-1
296,60471	-87
297,14288	67
297,68103	39
298,21915	9
298,75726	11
299,29538	64
299,83344	135
300,37149	33
300,90955	17
301,44754	45
301,98557	20
302,52353	85
303,06149	-32
303,59946	139
304,13736	85
304,67526	-33
305,21317	-15
305,75104	24
306,28888	146
306,82672	-47
307,36453	221
307,90231	103
308,44009	27
308,97784	183
309,51556	64
310,05328	72
310,591	77
311,12866	73
311,66632	196
312,20398	44
312,74158	163
313,27921	58
313,81677	188
314,35434	-59
314,89188	110
315,42941	-40
315,96692	22
316,50443	61
317,0419	89
317,57935	20
318,11676	57
318,65417	39
319,19159	86
319,72894	68
320,26633	36
320,80365	138
321,34097	17
321,87827	168
322,41556	260
322,95282	46
323,49005	88
324,02728	82
324,56448	67
325,10168	142
325,63885	20
326,17599	134
326,71313	114
327,25024	68
327,78732	121
328,3244	120
328,86145	123
329,3985	74
329,93552	120
