Date and Time:                Wed Mar 26 15:34:20.854 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-71
262,66187	-128
263,2012	-161
263,74057	-83
264,27988	-136
264,81918	-65
265,35846	77
265,89774	-181
266,43698	-251
266,97623	-96
267,51544	-66
268,05463	-53
268,59378	-15
269,13293	-210
269,67209	18
270,21118	-67
270,75031	-204
271,28937	-78
271,82843	-3
272,36746	-201
272,90649	-93
273,4455	-179
273,98447	-38
274,52344	-374
275,06238	-178
275,60132	-94
276,14023	-8
276,67911	-41
277,21799	-60
277,75684	-112
278,29565	-192
278,83447	-82
279,37326	114
279,91205	46
280,45081	-77
280,98953	-149
281,52826	-184
282,06696	-108
282,60565	-80
283,14429	-129
283,68295	-66
284,22156	106
284,76016	-253
285,29877	-54
285,83731	-28
286,37589	-104
286,9144	-126
287,45291	-102
287,99139	-9
288,52988	-20
289,06833	-153
289,60678	-177
290,14517	-109
290,68359	-95
291,22195	-108
291,76031	-131
292,29865	-11
292,83698	28
293,37527	-156
293,91357	-108
294,45184	38
294,99008	-70
295,52832	-76
296,06653	-9
296,60471	-65
297,14288	-151
297,68103	-139
298,21915	-139
298,75726	-117
299,29538	-58
299,83344	56
300,37149	-133
300,90955	123
301,44754	34
301,98557	-74
302,52353	-129
303,06149	-7
303,59946	-63
304,13736	-108
304,67526	14
305,21317	-3
305,75104	-95
306,28888	-30
306,82672	45
307,36453	-45
307,90231	21
308,44009	-127
308,97784	16
309,51556	-187
310,05328	51
310,591	-160
311,12866	-136
311,66632	-130
312,20398	-107
312,74158	-21
313,27921	-41
313,81677	-151
314,35434	-32
314,89188	-3
315,42941	-87
315,96692	-126
316,50443	-59
317,0419	66
317,57935	-200
318,11676	-122
318,65417	-49
319,19159	-132
319,72894	-156
320,26633	-71
320,80365	-91
321,34097	-217
321,87827	-100
322,41556	16
322,95282	-134
323,49005	-43
324,02728	-27
324,56448	-19
325,10168	-67
325,63885	30
326,17599	51
326,71313	-35
327,25024	-41
327,78732	-44
328,3244	-16
328,86145	-116
329,3985	-86
329,93552	-234
330,4725	-81
331,00949	-4
331,54645	90
332,0834	-7
332,62033	20
333,15723	-104
333,69409	-35
334,23099	-48
334,76782	-4
335,30466	-94
