Date and Time:                Wed Mar 26 15:36:06.598 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-73
262,66187	-58
263,2012	-107
263,74057	-49
264,27988	-159
264,81918	-98
265,35846	68
265,89774	-28
266,43698	-105
266,97623	-58
267,51544	-77
268,05463	-96
268,59378	-166
269,13293	-129
269,67209	50
270,21118	62
270,75031	-7
271,28937	86
271,82843	-118
272,36746	-71
272,90649	76
273,4455	-59
273,98447	-73
274,52344	-48
275,06238	-178
275,60132	-11
276,14023	-87
276,67911	43
277,21799	-121
277,75684	-142
278,29565	-184
278,83447	-112
279,37326	-68
279,91205	23
280,45081	-111
280,98953	-78
281,52826	-35
282,06696	-180
282,60565	105
283,14429	-85
283,68295	-28
284,22156	61
284,76016	-98
285,29877	-143
285,83731	-81
286,37589	15
286,9144	-38
287,45291	-72
287,99139	1
288,52988	-176
289,06833	-113
289,60678	139
290,14517	41
290,68359	-168
291,22195	-55
291,76031	-85
292,29865	-138
292,83698	4
293,37527	-138
293,91357	-30
294,45184	-45
294,99008	48
295,52832	-106
296,06653	-2
296,60471	-32
297,14288	-95
297,68103	-70
298,21915	-63
298,75726	-29
299,29538	-8
299,83344	-116
300,37149	-56
300,90955	-132
301,44754	-54
301,98557	-97
302,52353	-23
303,06149	-163
303,59946	-236
304,13736	-195
304,67526	-48
305,21317	69
305,75104	-50
306,28888	-128
306,82672	-96
307,36453	44
307,90231	-147
308,44009	82
308,97784	-3
309,51556	-74
310,05328	47
310,591	-76
311,12866	0
311,66632	-23
312,20398	-47
312,74158	-135
313,27921	-51
313,81677	-68
314,35434	-41
314,89188	-137
315,42941	-27
315,96692	-81
316,50443	-91
317,0419	-43
317,57935	-26
318,11676	-240
318,65417	-35
319,19159	-22
319,72894	57
320,26633	-113
320,80365	-26
321,34097	-108
321,87827	-139
322,41556	-52
322,95282	2
323,49005	0
324,02728	-45
324,56448	-84
325,10168	-51
325,63885	2
326,17599	13
326,71313	-175
327,25024	39
327,78732	-19
328,3244	-18
328,86145	-134
329,3985	-93
329,93552	26
330,4725	70
331,00949	-64
331,54645	-149
332,0834	-125
332,62033	-114
333,15723	-169
333,69409	-56
334,23099	-76
334,76782	-18
335,30466	-130
335,84146	-99
