Date and Time:                Mon Mar 17 14:59:39.813 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	39
285,25879	222
285,76248	44
286,26624	-65
286,77002	29
287,2738	-65
287,77762	79
288,28146	25
288,78534	46
289,28922	1
289,79312	-15
290,29709	19
290,80103	-98
291,30502	23
291,80905	31
292,31308	42
292,81714	34
293,32123	-18
293,82532	-55
294,32947	-18
294,83362	45
295,3378	-49
295,84201	-53
296,34625	-433
296,85049	-19
297,35477	-71
297,8591	40
298,3634	-38
298,86777	91
299,37213	80
299,87656	-181
300,38098	-73
300,88544	23
301,38989	-1
301,89441	-65
302,39893	-25
302,90347	-25
303,40805	-12
303,91263	137
304,41727	2
304,92191	69
305,42657	30
305,93127	-66
306,436	118
306,94073	-132
307,4455	-11
307,95029	20
308,45511	13
308,95996	-48
309,46481	80
309,9697	-49
310,47461	-103
310,97955	-53
311,48453	-250
311,9895	-212
312,49451	-163
312,99954	-12
313,50461	35
314,0097	117
314,5148	1
315,01993	-58
315,52509	71
316,03027	113
316,53549	-21
317,04071	22
317,54596	11
318,05124	-14
318,55655	97
319,06186	-56
319,56723	42
320,0726	-72
320,578	5
321,08344	-24
321,58887	101
322,09436	47
322,59985	24
323,10538	-107
323,6109	-31
324,11649	-18
324,62207	154
325,12769	73
325,63333	-90
326,13901	23
326,64471	17
327,15042	36
327,65616	-88
328,16193	29
328,66772	-116
329,17352	-71
329,67938	-33
330,18524	8
330,69113	-48
331,19702	30
331,70297	46
332,20892	-2
332,7149	90
333,22092	-113
333,72696	97
334,23303	-35
334,73911	16
335,24521	119
335,75134	-18
336,25751	189
336,76367	-49
337,26987	87
337,77609	42
338,28235	-52
338,78864	-29
339,29492	92
339,80127	54
340,30762	-2
340,814	-41
341,32037	-45
341,82681	-36
342,33325	-42
342,83972	26
343,34622	-32
343,85275	-13
344,35928	-50
344,86588	-89
345,37247	-40
345,87906	23
