Date and Time:                Wed Mar 19 10:34:27.532 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	84
285,25876	45
285,76248	54
286,26624	-79
286,77002	-68
287,2738	133
287,77762	-48
288,28146	-8
288,78531	106
289,28922	-32
289,79312	17
290,29706	-159
290,80103	-64
291,30502	-52
291,80902	-159
292,31308	-70
292,81714	-165
293,32123	-227
293,82532	11
294,32947	77
294,83362	34
295,3378	12
295,84201	-27
296,34625	-40
296,85049	-117
297,35477	69
297,85907	30
298,3634	71
298,86777	-108
299,37213	-165
299,87656	18
300,38098	-125
300,88541	96
301,38989	80
301,89441	166
302,39893	74
302,90347	-73
303,40805	7
303,91263	31
304,41727	-38
304,92191	-37
305,42657	63
305,93127	131
306,43597	119
306,94073	25
307,4455	152
307,95029	-13
308,45511	82
308,95993	-1
309,46481	6
309,9697	10
310,47461	-9
310,97955	-52
311,4845	-37
311,9895	-214
312,49451	-74
312,99954	-46
313,50461	24
314,00967	-19
314,5148	46
315,01993	-42
315,52509	50
316,03027	26
316,53546	-69
317,04071	38
317,54596	93
318,05124	-16
318,55655	78
319,06186	-53
319,56723	-160
320,0726	-77
320,578	17
321,08344	-16
321,58887	-34
322,09433	-35
322,59985	-38
323,10538	-55
323,6109	101
324,11649	-91
324,62207	-71
325,12769	-85
325,63333	132
326,13901	92
326,64471	-52
327,15042	64
327,65616	-122
328,16193	12
328,66772	56
329,17352	-63
329,67938	-51
330,18524	-24
330,69113	-16
331,19702	-26
331,70297	9
332,20892	-41
332,7149	-3
333,22092	-57
333,72696	-46
334,233	-83
334,73911	59
335,24521	-12
335,75134	-80
336,25748	-50
336,76367	-48
337,26987	-34
337,77609	-83
338,28235	47
338,78864	44
339,29492	-32
339,80127	42
340,30762	-64
340,814	-118
341,32037	-38
341,82681	73
342,33325	8
342,83972	-130
343,34622	49
343,85275	-148
344,35928	-41
344,86584	11
345,37247	-8
345,87906	65
346,38571	-93
346,89236	-37
347,39908	24
347,90579	110
348,41254	3
348,91928	-28
349,42609	-65
349,93289	23
350,43973	-93
350,94659	67
351,45349	159
351,96039	154
352,46732	-50
352,97427	-29
353,48126	-72
353,98828	35
354,4953	75
355,00235	-21
355,50943	-33
356,01654	136
