Date and Time:                Wed Mar 19 11:16:40.547 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	30
285,25876	-13
285,76248	-44
286,26624	-95
286,77002	-199
287,2738	-55
287,77762	69
288,28146	-193
288,78531	-156
289,28922	-71
289,79312	35
290,29706	-125
290,80103	-88
291,30502	-68
291,80902	-26
292,31308	69
292,81714	-40
293,32123	14
293,82532	-46
294,32947	-128
294,83362	-91
295,3378	-89
295,84201	-32
296,34625	-116
296,85049	-42
297,35477	-47
297,85907	94
298,3634	13
298,86777	-55
299,37213	-41
299,87656	-11
300,38098	30
300,88541	-159
301,38989	25
301,89441	-11
302,39893	29
302,90347	-41
303,40805	-163
303,91263	-125
304,41727	-30
304,92191	-56
305,42657	38
305,93127	-275
306,43597	-19
306,94073	-57
307,4455	-126
307,95029	39
308,45511	-65
308,95993	-58
309,46481	164
309,9697	-87
310,47461	-114
310,97955	-215
311,4845	-66
311,9895	-114
312,49451	-108
312,99954	47
313,50461	-42
314,00967	-165
314,5148	-10
315,01993	4
315,52509	-115
316,03027	-84
316,53546	-120
317,04071	39
317,54596	-13
318,05124	-135
318,55655	-17
319,06186	-21
319,56723	-114
320,0726	-47
320,578	42
321,08344	-21
321,58887	-81
322,09433	-135
322,59985	-231
323,10538	6
323,6109	-228
324,11649	-55
324,62207	-48
325,12769	-108
325,63333	-101
326,13901	123
326,64471	60
327,15042	-64
327,65616	-85
328,16193	-8
328,66772	12
329,17352	-139
329,67938	70
330,18524	-26
330,69113	-5
331,19702	-10
331,70297	-94
332,20892	-139
332,7149	-11
333,22092	-132
333,72696	-102
334,233	-67
334,73911	-132
335,24521	-56
335,75134	-126
336,25748	-120
336,76367	-105
337,26987	-63
337,77609	-109
338,28235	-69
338,78864	-45
339,29492	17
339,80127	37
340,30762	-184
340,814	-84
341,32037	-95
341,82681	62
342,33325	62
342,83972	-209
343,34622	-73
343,85275	-66
344,35928	-106
344,86584	-166
345,37247	-29
345,87906	-30
346,38571	-119
346,89236	6
347,39908	-47
347,90579	30
348,41254	62
348,91928	-110
349,42609	-47
349,93289	-153
350,43973	64
350,94659	-167
351,45349	27
351,96039	-40
352,46732	-29
352,97427	106
353,48126	20
353,98828	18
354,4953	-111
