Date and Time:                Wed Mar 19 13:56:52.938 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-43
285,25876	-44
285,76248	-71
286,26624	-183
286,77002	-131
287,2738	-215
287,77762	-127
288,28146	-28
288,78531	-92
289,28922	312
289,79312	-117
290,29706	-161
290,80103	-133
291,30502	-147
291,80902	23
292,31308	-213
292,81714	-52
293,32123	-21
293,82532	-18
294,32947	-44
294,83362	51
295,3378	-9
295,84201	-149
296,34625	-149
296,85049	-77
297,35477	-140
297,85907	-20
298,3634	-206
298,86777	-60
299,37213	-67
299,87656	7
300,38098	-239
300,88541	47
301,38989	-106
301,89441	-128
302,39893	-113
302,90347	-249
303,40805	-28
303,91263	-67
304,41727	-79
304,92191	48
305,42657	-170
305,93127	-135
306,43597	14
306,94073	-146
307,4455	-184
307,95029	-90
308,45511	-42
308,95993	-158
309,46481	-86
309,9697	-128
310,47461	-189
310,97955	-112
311,4845	-84
311,9895	-26
312,49451	-39
312,99954	-123
313,50461	-23
314,00967	-195
314,5148	-130
315,01993	-106
315,52509	-191
316,03027	-257
316,53546	-65
317,04071	25
317,54596	-49
318,05124	-89
318,55655	-80
319,06186	-15
319,56723	62
320,0726	-119
320,578	-128
321,08344	-126
321,58887	-115
322,09433	-265
322,59985	61
323,10538	-179
323,6109	-50
324,11649	-148
324,62207	-24
325,12769	-220
325,63333	-263
326,13901	-109
326,64471	-151
327,15042	-150
327,65616	-39
328,16193	-90
328,66772	-136
329,17352	-11
329,67938	-78
330,18524	-14
330,69113	-104
331,19702	-115
331,70297	-6
332,20892	-32
332,7149	-230
333,22092	-102
333,72696	-11
334,233	-96
334,73911	58
335,24521	-43
335,75134	4
336,25748	-49
336,76367	-127
337,26987	-76
337,77609	-11
338,28235	-161
338,78864	-40
339,29492	-117
339,80127	-30
340,30762	-38
340,814	-215
341,32037	84
341,82681	-102
342,33325	-138
342,83972	-22
