Date and Time:                Thu Mar 13 15:15:21.841 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-87
285,25879	-189
285,76248	24
286,26624	-2
286,77002	86
287,2738	-59
287,77762	31
288,28146	-28
288,78534	-66
289,28922	-10
289,79312	-24
290,29709	-20
290,80103	77
291,30502	-176
291,80905	-4
292,31308	29
292,81714	66
293,32123	23
293,82532	-12
294,32947	94
294,83362	-39
295,3378	-42
295,84201	66
296,34625	334
296,85049	-104
297,35477	-67
297,8591	-62
298,3634	7
298,86777	-58
299,37213	-15
299,87656	-70
300,38098	9
300,88544	-57
301,38989	115
301,89441	-77
302,39893	19
302,90347	29
303,40805	-48
303,91263	-23
304,41727	99
304,92191	65
305,42657	76
305,93127	22
306,436	151
306,94073	-118
307,4455	-57
307,95029	110
308,45511	119
308,95996	-91
309,46481	-5
309,9697	-99
310,47461	-12
310,97955	-56
311,48453	-43
311,9895	35
312,49451	-62
312,99954	129
313,50461	18
314,0097	14
314,5148	-47
315,01993	-108
315,52509	29
316,03027	-57
316,53549	-77
317,04071	-180
317,54596	-42
318,05124	-134
318,55655	-14
319,06186	19
319,56723	50
320,0726	77
320,578	-32
321,08344	29
321,58887	12
322,09436	158
322,59985	172
323,10538	30
323,6109	2
324,11649	55
324,62207	-12
325,12769	-75
325,63333	113
326,13901	173
326,64471	41
327,15042	-29
327,65616	79
328,16193	113
328,66772	-22
329,17352	-87
329,67938	14
330,18524	-28
330,69113	51
331,19702	-108
331,70297	-49
332,20892	48
332,7149	-57
333,22092	-88
333,72696	-10
334,23303	-85
334,73911	10
335,24521	70
335,75134	116
336,25751	110
336,76367	-29
337,26987	17
337,77609	-13
338,28235	-3
338,78864	-69
339,29492	-8
339,80127	124
340,30762	87
340,814	-121
341,32037	-73
341,82681	-70
342,33325	-43
342,83972	86
343,34622	106
343,85275	55
344,35928	2
344,86588	141
345,37247	49
345,87906	80
